Id;Health Service;Full Upload;Health System;Owner
VAMC-12;'Laboratory and pathology';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our laboratories provide a full range of clinical and diagnostic testing services. Our laboratory and pathology services include:</p> <ul><li>Study of blood, urine, and other bodily fluids for illness management</li><li>Testing for infectious diseases</li><li>Cytopathology "study of unusual cells" and surgical pathology "study of tissue removed during surgery" </li><li>Autopsy services</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-13;'LGBT Veteran care';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>We promote the health, welfare, and dignity of lesbian, gay, bisexual, and transgender "LGBT" Veterans and their families. We focus on ensuring a safe, welcoming, and affirmative environment when providing you with sensitive and high-quality health care services like:</p> <ul><li>Hormone therapy</li><li>Substance use and alcohol treatment</li><li>Testing and treatment for HIV and STIs "sexually transmitted infections"</li><li>Mental health care</li><li>Psychosocial assessments for gender-confirming surgeries and hormone therapy</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-14;'Low vision and blind rehabilitation';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our low vision outpatient clinic can assess your needs and provide a rehab plan tailored to your personal goals. Our team of specialists and social workers will work with you to find the right aids and services. Our clinic services include:</p> <ul><li>Comprehensive eye exams</li><li>Visual skills assessments</li><li>Guidance on how to develop visual motor and perceptual skills</li><li>Training to help you manage daily activities with your vision loss</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-15;'Mental health care';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our medical center and clinics provide consultation, evaluation, and treatment for a range of issues that may impact your mental health or emotional well-being. Our confidential outpatient services include individual and group therapy for:</p> <ul><li>Psychiatric disorders such as schizophrenia, bipolar disorder, and depression</li><li>Marriage and relationship problems</li><li>Posttraumatic stress disorder "PTSD"</li><li>Anxiety, addictive behaviors, and personality disorders</li><li>Aggressive or self-harming behaviors</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-16;'Military sexual trauma';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>We offer care for military sexual trauma in our mental (behavioral) health clinics. Military sexual trauma refers to sexual assault, sexual harassment, or other threatening, offensive, or unwanted sexual advances, activities, or remarks that you experienced in the military. Our goal is to help you improve your quality of life with strategies to manage emotions and memories related to your military sexual trauma. Our services include: </p> <ul><li>Counseling</li><li>Psychiatric care</li><li>Walk-in care</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-17;'Minority Veteran care';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>If you’re a minority Veteran, we can help you get the services and benefits you need. Our Minority Veterans Program serves all Veterans who are African American, Asian American, Hispanic American, and Native American (including American Indians, Alaska Natives, Native Hawaiians, and Pacific Island Americans). We work to: </p> <ul><li>Help the medical center address minority Veterans’ needs</li><li>Meet minority Veterans’ needs in the local community</li><li>Identify barriers and create a more accessible environment for minority Veterans</li><li>Inform minority Veterans of VA benefits, services, and programs</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-18;'MOVE! weight management';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>MOVE! is a weight-management program designed to help you live a longer, healthier life. With the help of your MOVE! care team, you can eat a healthier diet, get more exercise, reduce your health risks, and improve your quality of life. The MOVE! program offers:</p> <ul><li>Weight-loss support groups to help you lose weight and keep it off</li><li>Healthy eating tips and cooking classes</li><li>Behavioral change strategies to help you live a healthier lifestyle</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-19;'My HealtheVet coordinator';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>My HealtheVet is a web-based tool you can use to manage your care and improve your health from your computer or mobile device. You can access your personal health records and use tools to manage your care through our My HealtheVet online system. You can also use My HealtheVet to refill your prescriptions, track appointments, and read informative health articles. If you need help using My HealtheVet, you can contact our coordinator by phone or in person. With My HealtheVet, you can:</p> <ul><li>Ask questions and exchange secure online messages with your VA health care team </li><li>Check your lab and test results</li><li>Refill your prescriptions, track delivery, and view a list of your medications</li><li>Keep track of your VA medical appointments and get email reminders</li><li>View, download, or print a copy of your VA medical records </li><li>Enter or update your personal information</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-20;'Neurology';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>We provide inpatient and outpatient services for chronic diseases and disorders that affect your brain, spine, and the nerves that connect them. Our neurologists read electroencephalogram (EEG) recordings, which measure the electrical impulses brain cells use to communicate with each other. We evaluate and treat many neurological illnesses and disorders such as:  </p> <ul><li>Neuropathy (nerve damage), myelopathy and other spinal cord injuries, and radiculopathy (pinched nerves)</li><li>Parkinson’s disease, epilepsy, and multiple sclerosis</li><li>Stroke, dementia, and degenerative diseases</li><li>Other neurological conditions</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-21;'Nutrition, food, and dietary';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our registered dietitians can help you maintain or improve your health with good nutrition tailored to your needs. Through group, individual, and telehealth sessions, we provide nutrition education and counseling in areas such as: </p> <ul><li>Cardiovascular and heart health</li><li>Chronic kidney disease</li><li>Diabetes (including gestational diabetes)</li><li>Eating disorders and digestive health</li><li>Pregnancy and postpartum nutrition</li><li>Weight management</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-22;'Ophthalmology';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>We offer comprehensive evaluation, diagnosis, and treatment for eye-related illnesses, injuries, and other issues. Our ophthalmology services include:  </p> <ul><li>Medical care for glaucoma, eye infections, and other conditions </li><li>Surgery for cataracts, traumatic eye injuries, and other problems</li><li>Treatment for eye conditions related to illnesses like diabetes or arthritis </li><li>Plastic surgery to repair droopy eyelids, clear blocked tear ducts, and perform eyelid and facial reconstruction (oculoplastics)</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-23;'Optometry';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our optometrists provide many eye-related services and treatments like: </p> <ul><li>Vision services and eye exams</li><li>Treatment for diseases and injuries of the retina, cornea, and other parts of your eye</li><li>Low-vision services for conditions like macular degeneration that can’t be corrected by glasses, surgery, or medication</li><li>Special eye exams for diabetic patients </li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-24;'Orthopedics';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>We use surgical and nonsurgical means to treat illnesses and disorders of the musculoskeletal system, which includes your bones, muscles, joints, cartilage, tendons, ligaments, and other connective tissue. We treat conditions like: </p> <ul><li>Musculoskeletal trauma</li><li>Degenerative illnesses</li><li>Sports injuries</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-25;'Pain management';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Acute (short-term) or chronic (long-lasting) pain can make it hard to enjoy life, but effective pain management can help. Our experts work with you, your primary care physician, and other specialists to create a plan to help you manage your pain and improve your quality of life. Our services include:</p> <ul><li>Chiropractic care to relieve pain without medication</li><li>Prescribing and supervising your use of medications</li><li>Teaching you skills that include meditation, mindfulness training, relaxation, yoga, and tai chi to help you manage your pain</li><li>Providing physical therapy, acupuncture, massage, biofeedback, and other compatible therapies</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-26;'Palliative and hospice care';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our palliative and hospice care services support you and your family as you cope with a life-threatening or terminal illness. Palliative care works to provide comfort, reduce suffering, and improve the quality of life for patients being treated for serious illnesses. Hospice care focuses on helping patients with terminal illnesses to manage the final stages of their lives. Our palliative and hospice care services include: </p> <ul><li>Pain and symptom management</li><li>Emotional, spiritual, and psychosocial support for you and your family</li><li>Help with practical issues that include an advance directive (living will), health care power of attorney, funeral arrangements, and applying for VA death and burial benefits</li><li>Education to help you and your family make informed health care decisions and know what to expect as your health declines</li><li>Bereavement care to help surviving family members during the grieving process</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-27;'Patient advocates';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our patient advocates work hard to make sure you receive the best possible care at our health care facilities. They can:</p> <ul><li>Help you get answers or address concerns with your care team</li><li>Advocate for patient and family rights</li><li>Serve as advocates for minority Veterans, women Veterans, and Veterans with disabilities</li><li>Offer specialized help to former prisoners of war and Veterans transitioning from Operation Enduring Freedom (OEF), Operation Iraqi Freedom (OIF), and Operation New Dawn (OND)</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-28;'Pharmacy';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our pharmacy provides you and other Veterans with convenient, efficient service to make it easy to get your medications and medical supplies. You can:</p> <ul><li>Pick up new prescriptions in person</li><li>Refill prescriptions online and by phone or mail</li><li>Safely dispose of medicines</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-29;'Physical therapy, occupational therapy and kinesiotherapy';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>If you’re living with or recovering from an injury, illness, or chronic condition that limits your mobility and independence, we can help. Our physical, occupational, and movement therapists combine therapeutic exercise, counseling, education, and training to help you improve your health and quality of life. Our services include:</p> <ul><li>Pain relief and joint mobilization</li><li>Movement and exercise therapies to improve your strength, endurance, balance, and coordination</li><li>Mobility assessment and training with wheelchairs, scooters, and walking devices</li><li>Life skills training and activities to help you maintain the highest level of independence and functionality</li><li>Aquatic therapy to manage chronic pain</li><li>Evaluation and treatment for a wide range of medical, orthopedic, psychosocial, and neurological conditions</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-30;'Podiatry';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>After years of walking, running, marching, jumping, rappelling, and parachuting, many Veterans experience trouble with their feet and ankles. We can help treat those problems so you can continue to enjoy an active lifestyle. Our podiatry services include:</p> <ul><li>Arthritis care for inflamed, swollen, or damaged joints</li><li>Foot and ankle fracture treatment; repair of cartilage, torn tendons and ligaments     </li><li>Injections to reduce pain and swelling</li><li>Joint arthroplasty (surgical repair or reconstruction) and replacement</li><li>Minimally invasive surgery and post-surgical rehabilitation</li><li>Foot health maintenance procedures (bunion removal, resurfacing, and nail trimming)</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-31;'Primary care';'<h3>Care we provide at VA Wilkes-Barre health care</h3><p>A strong network of family and internal medicine specialists and services can offer you the best possible care. Internal medicine doctors (internists) prevent, diagnose, and treat adult diseases. Doctors who specialize in family medicine provide primary health care to the entire family. Your primary care team can coordinate the many services you receive such as: </p> <ul><li>Labs and blood work</li><li>Mental health care</li><li>Women's health care</li><li>Radiology</li><li>Social services</li><li>Telehealth</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-32;'Radiation oncology';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Radiation oncologists specialize in treating patients with external and internal radiation therapy or radiotherapy. You doctor can use radiation to treat cancer and control its growth or relieve pain. The radiation therapy you receive depends on the cancer type, tumor size and location, your general health, and your other treatments</p>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-33;'Radiology';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>We offer radiology and imaging services to diagnose and treat many medical conditions. Our services include: </p> <ul><li>X-ray</li><li>Ultrasound</li><li>Mammography (mammograms)</li><li>Computer tomography (CT)</li><li>Positron emission tomography (PET)</li><li>Magnetic resonance imaging (MRI)</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-34;'Recreation and creative arts therapy';'<h3>Care we provide at Stress management and social skills training</h3> <p>Our therapies promote your independence and enhance your health and well-being if you’re a Veteran with an injury, chronic (long-lasting) illness, or disabling condition. After your primary health care provider gives you a referral, a recreation therapist will develop treatment goals for you.</p> <ul><li>Recreation and creative arts therapy provides services and activities that include:</li><li>Animal interaction</li><li>Music, art, and crafts </li><li>Community outings</li><li>Exercise, sports, and games</li><li>Gardening and leisure education</li><li>Stress management and social skills training</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-35;'Rehabilitation and prosthetics';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>VA is the world’s largest and most comprehensive provider of sensory aides and prosthetic devices. Veterans enrolled in the VA health care system and referred by a physical medicine and rehabilitation physician can receive a full range of services and equipment like: </p> <ul><li>Artificial limbs and surgical implants, including artificial joints and pacemakers</li><li>Wheelchairs and other medical devices</li><li>Aids for Veterans who are blind, have low vision, or are hearing impaired</li><li>Adaptive equipment and modifications to make your vehicle or home more accessible</li><li>Other devices and services to help increase your mobility, dignity, and independence</li><li>Clothing allowance for Veterans with devices that damage their clothing </li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-36;'Returning service member care';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>At VA <<insert facility name>> health care, we can help you readjust to civilian life if you’re returning from military service, on active duty, or an activated National Guard or Reserve member. Talk to one of our care coordinators about how to best use your health care benefits.</p> <ul><li>Polytrauma care (if you have multiple traumatic injuries)</li><li>Counseling and rehabilitation</li><li>Mental and behavioral health services</li><li>Family benefits counseling and assistance</li><li>Referral assistance</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-37;'Smoking and tobacco cessation';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>You can quit smoking or chewing tobacco. Our goal is to provide support and strategies to add to optional nicotine replacement therapy prescribed by your primary care doctor. These include: </p> <ul><li>FDA-approved medications to manage nicotine withdrawal and the urge to smoke. </li><li>Counseling in person or by phone</li><li>Tobacco Cessation Quitline for individual counseling and strategies</li><li>SmokefreeVET text message program for daily advice and interactive support </li><li>Stay Quit Coach mobile app to help you quit smoking and stay smoke-free</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-38;'Social work';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Social work is integral to health care. We can help you and your family manage stress-related problems due to injury or illness, and find VA community resources to meet your needs like:</p> <ul><li>Home health services</li><li>Legal services</li><li>Transportation</li><li>Community living</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-39;'Spinal cord injury and disorders';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>VA has the nation’s largest system of care for spinal cord injuries and disorders. We provide a convenient, connected network of experts to care for you during each phase of your life. Our experienced primary care providers are trained to check for problems unique to spinal cord injuries.</p> <ul><li>Pressure ulcers</li><li>Pneumonia</li><li>Blood clots </li><li>Bladder and sexual issues</li><li>Constipation and other gastrointestinal problems </li><li>Sexual issues</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-40;'Suicide prevention';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>We work with behavioral health providers and community organizations to help you and your family during times of crisis. We offer:</p> <ul><li>Suicide prevention care coordinators</li><li>Suicide prevention case managers</li><li>Gun safety locks</li><li>Learn more and connect with a care coordinator. (Link to Suicide Prevention page)</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-41;'Surgery';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>We provide a wide range of surgical services, like:</p> <ul><li>General surgery</li><li>Anesthesia</li><li>Cardiac surgery (heart and major blood vessels)</li><li>Neurosurgery (brain, spinal column, and nerves)</li><li>Orthopedic surgery (bones, muscles, ligaments, joints, and tendons)</li><li>Organ and tissue transplants</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-42;'Telehealth';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>We use the latest in secure digital technology to set up remote visits with our health care providers. We offer video conferencing, home telehealth services, and store-and-forward telehealth that lets you securely send your health information to experts at VA facilities. We offer telehealth visits with providers in:</p> <ul><li>Mental health</li><li>Retinal care (eye)</li><li>Bariatric surgery (visit remotely with your weight-loss surgery team before and after your operation) </li><li>Dermatology </li><li>Rehabilitation</li><li>Primary care</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-43;'Thoracic surgery';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our thoracic surgeons provide state-of-the-art surgical techniques and cancer therapies that focus on your lungs and other organs of the chest. Many of our thoracic treatments also address problems with your esophagus (the tube that connects your mouth and stomach), your trachea (airway), and your chest wall (rib cage and breastbone). We treat a variety of conditions that include:</p> <ul><li>Lung cancer and cancer of the esophagus</li><li>Benign chest and lung tumors</li><li>Pleural illnesses, like pneumothorax (collapsed lung) and infections of the pleura (the thin membrane that lines the chest wall and covers the lungs)</li><li>Achalasia, which occurs when nerve damage prevents your esophagus from pushing food into your stomach)</li><li>Gastroesophageal reflux disease, or acid reflux, which occurs when stomach acid frequently flows back into your esophagus and irritates the lining</li><li>Diseases of the thymus, a small organ beneath your breastbone that produces cells that support your immune system and fight cancer</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-44;'Travel reimbursement';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>If you’re traveling for VA-approved care, we can repay you for the cost of using regular transportation that includes cars, planes, trains, buses, taxis, rideshare, or light rail. You may also be eligible for repayment when using ambulances, wheelchair vans, or ambulettes (non-emergency medical transportation).</p>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-45;'Urology';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>We evaluate, diagnose, and treat a wide range of urology diseases and conditions that include kidney stones, erectile dysfunction, urinary incontinence, prostate cancer, and more. We provide you with medical care, surgery, and minimally invasive procedures for health issues that affect:</p> <ul><li>Kidneys</li><li>Bladder</li><li>Ureter and urethra</li><li>Male reproductive organs</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-46;'Vascular surgery';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our vascular surgeons treat illnesses of your arteries and veins. Our surgeons can treat these problems with medication and exercise. Vascular illness causes include atherosclerosis caused by the buildup of plaque in your arteries; blockage by a blood clot or fatty deposit; inflammation, (vasculitis); and trauma or injury</p>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
VAMC-47;'Women Veteran care';'<h3>Care we provide at VA Wilkes-Barre health care</h3> <p>Our women's health program offers complete health care for women Veterans of all ages. Our primary care providers specialize in women’s health. They work closely with specialists in gynecology, obstetrics, female urology, oncology, medicine, radiology, surgery, and breast illness. Our services for women Veterans include:</p> <ul><li>Ultrasounds, Mammograms, Pap and HPV tests</li><li>Mental health care and counseling</li><li>Lifestyle wellness services</li><li>Menopause treatment, including hormonal therapy </li><li>Family planning, contraceptive care, and infertility evaluation</li></ul>';'VA Wilkes-Barre health care';'VA Wilkes-Barre health care'
