Id;Facility Name;VAMC System Health Services;Facility description of services;Owner
vha_442-Internal medicine;'Cheyenne VA Medical Center';'Internal medicine at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Laboratory and pathology;'Cheyenne VA Medical Center';'Laboratory and pathology at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 7:30 a.m. to 5:30 p.m.<br />Tuesday -  7:30 a.m. to 5:30 p.m.<br />Wednesday - 7:30 a.m. to 5:30 p.m.<br />Thursday -  7:30 a.m. to 5:30 p.m.<br />Friday -  7:30 a.m. to 5:30 p.m.<br />Saturday - 9:00 a.m. to 12:00 p.m. <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /><Strong>Additional Phone:</strong> <a href="tel:+13077787311" aria-label="3 0 7. 7 7 8. 7 3 1 1.">307-778-7311</a></p>';'VA Cheyenne health care'
vha_442-LGBT Veteran care;'Cheyenne VA Medical Center';'LGBT Veteran care at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Douglas Fir Building</strong><br />Second Floor<br /><strong><>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a>, ext. 7912<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> NO<br /><strong>Walk-ins accepted?</strong> YES<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Low vision and blind rehabilitation;'Cheyenne VA Medical Center';'Low vision and blind rehabilitation at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a>, ext. 7231<br /><strong>Hours:</strong> <br />Monday - 7:00 a.m. to 4:30 p.m.<br />Tuesday -  7:00 a.m. to 4:30 p.m.<br />Wednesday - 7:00 a.m. to 4:30 p.m.<br />Thursday -  7:00 a.m. to 4:30 p.m.<br />Friday -  7:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Mental health care;'Cheyenne VA Medical Center';'Mental health care at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a>, ext. 7349<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> NO<br /><strong>Walk-ins accepted?</strong> YES<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /><Strong>Additional Phone:</strong> <a href="tel:+13079203536" aria-label="3 0 7. 9 2 0. 3 5 3 6.">307-920-3536</a></p>';'VA Cheyenne health care'
vha_442-Military sexual trauma;'Cheyenne VA Medical Center';'Military sexual trauma at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a>, ext. 7349<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> NO<br /><strong>Walk-ins accepted?</strong> YES<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Neurology;'Cheyenne VA Medical Center';'Neurology at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Nutrition, food, and dietary;'Cheyenne VA Medical Center';'Nutrition, food, and dietary at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a>, ext. 7085<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /><Strong>Additional Phone:</strong> <a href="tel:+19705901148" aria-label="9 7 0. 5 9 0. 1 1 4 8.">970-590-1148</a></p>';'VA Cheyenne health care'
vha_442-Ophthalmology;'Cheyenne VA Medical Center';'Ophthalmology at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Optometry;'Cheyenne VA Medical Center';'Optometry at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Otolaryngology;'Cheyenne VA Medical Center';'Otolaryngology at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Patient advocates;'Cheyenne VA Medical Center';'Patient advocates at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> NO<br /><strong>Walk-ins accepted?</strong> YES<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Pharmacy;'Cheyenne VA Medical Center';'Pharmacy at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:30 a.m. to 5:00 p.m. <br />Tuesday -  8:30 a.m. to 5:00 p.m. <br />Wednesday - 8:30 a.m. to 5:00 p.m. <br />Thursday -  8:30 a.m. to 5:00 p.m. <br />Friday -  8:30 a.m. to 5:00 p.m. <br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> NO<br /><strong>Walk-ins accepted?</strong> YES<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /><Strong>Additional Phone:</strong> <a href="tel:+18664206337" aria-label="8 6 6. 4 2 0. 6 3 3 7.">866-420-6337</a></p>';'VA Cheyenne health care'
vha_442-Physical medicine and rehabilitation;'Cheyenne VA Medical Center';'Physical medicine and rehabilitation at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a>, ext. 7554<br /><strong>Hours:</strong> <br />Monday - 7:00 a.m. to 5:30 p.m.<br />Tuesday -  7:00 a.m. to 5:30 p.m.<br />Wednesday - 7:00 a.m. to 5:30 p.m.<br />Thursday -  7:00 a.m. to 5:30 p.m.<br />Friday -  7:00 a.m. to 5:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /><Strong>Additional Phone:</strong> <a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a></p>';'VA Cheyenne health care'
vha_442-Primary care;'Cheyenne VA Medical Center';'Primary care at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Buffalo Building</strong><br />Second floor<br /><strong><>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a>, ext. 7190<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> NO<br /><strong>Walk-ins accepted?</strong> YES<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /><Strong>Additional Phone:</strong> <a href="tel:+13074333737" aria-label="3 0 7. 4 3 3. 3 7 3 7.">307-433-3737</a></p>';'VA Cheyenne health care'
