city,facility_name,telephone_ops,visn,vamc_system_label,facility_id,status,skip
San Diego,VA San Diego HCS,858-642-3931,22,VA San Diego health care,vha_664,1 to 1,
San Francisco,San Francisco VA HCS,415-750-2003,21,VA San Francisco health care,vha_662,1 to 1,
Sheridan,Sheridan VAMC,307-675-3323x3220,19,VA Sheridan health care,vha_666,1 to 1,
Shreveport,Overton Brooks VAMC,318-221-8411x16911,16,VA Shreveport health care,vha_667,1 to 1,
Reno,VA Sierra Nevada HCS,775-328-1234,21,VA Sierra Nevada health care,vha_654,1 to 1,
Sioux Falls,Royal C. Johnson Memorial Medical Center,605-336-3230x97376,23,VA Sioux Falls health care,vha_438,1 to 1,
Kerrville,South Texas Veterans HCS - Kerrville VAMC,210-617-5168,17,VA South Texas health care,vha_671,Good duplicate,
San Antonio,So. Texas Veterans HCS - Audie L. Murphy VA Hospital,210-617-5168,17,VA South Texas health care,vha_671,Good duplicate,1
New Orleans,Southeast Louisiana Veterans HCS,504-207-2011,16,VA Southeast Louisiana health care,vha_629,1 to 1,
Tucson,Southern Arizona HCS,520-629-1823,22,VA Southern Arizona health care,vha_678,1 to 1,
North Las Vegas,VA Southern Nevada HCS,702-791-9000x14073,21,VA Southern Nevada health care,vha_593,1 to 1,
White City,Southern Oregon Rehabilitation Center & Clinics,541-826-2111x3362,20,VA Southern Oregon health care,vha_692,1 to 1,
Spokane,Mann-Grandstaff VAMC,509-434-7912,20,VA Spokane health care,vha_668,1 to 1,
St. Cloud,St. Cloud VA HCS,320-255-6335,23,VA St Cloud health care,vha_656,1 to 1,
St. Louis,VA St. Louis HCS - John Cochran Division,314-289-6326,15,VA St Louis health care,vha_657,Good duplicate,1
St. Louis,VA St. Louis HCS - John Cochran Division,314-289-6326,15,VA St Louis health care,vha_657,Good duplicate,
Syracuse,Syracuse VAMC,315-425-4336,2,VA Syracuse health care,vha_528,1 to 1,
Tampa,James A. Haley Veterans Hospital,813-972-7554,8,VA Tampa health care,vha_673,1 to 1,
Murfreesboro,Tennessee Valley HCS - Alvin C. York Campus,615-225-6600,9,VA Tennessee Valley health care,vha_626,Good duplicate,1
Nashville,Tennessee Valley HCS - Nashville Campus,615-225-6600,9,VA Tennessee Valley health care,vha_626,Good duplicate,
Harlingen,Texas Valley Coastal Bend HCS - Harlingen HCC,956-291-9001,17,VA Texas Valley health care,vha_740,1 to 1,
Tomah,Tomah VAMC,608-372-1245,12,VA Tomah health care,vha_676,1 to 1,
Tuscaloosa,Tuscaloosa VAMC,205-554-2086,7,VA Tuscaloosa health care,vha_679,1 to 1,
Walla Walla,Jonathan M. Wainwright Memorial VAMC,509-527-6135,20,VA Walla Walla health care,vha_687,1 to 1,
Washington,Washington DC VAMC,202-745-8189,5,VA Washington DC health care,vha_688,1 to 1,
West Palm Beach,West Palm VAMC,561-422-7312,8,VA West Palm Beach health care,vha_548,1 to 1,
Big Spring,"West Texas VA HCS - George H. O'Brien, Jr. VAMC",432-263-7361x7003,17,VA West Texas health care,vha_519,1 to 1,
Grand Junction,Grand Junction VAMC,970-263-5078,19,VA Western Colorado health care,vha_575,1 to 1,
Batavia,VA Western New York HCS - Batavia Campus,716-862-8747,2,VA Western New York health care,vha_528,Good duplicate,1
Buffalo,VA Western New York HCS - Buffalo Campus,716-862-8747,2,VA Western New York health care,vha_528,Good duplicate,
White River Junction,White River Junction VAMC,802-295-9363x6361,1,VA White River Junction health care,vha_405,1 to 1,
Wichita,Robert J. Dole VAMC,316-651-3631,15,VA Wichita health care,vha_589,1 to 1,
Wilkes-Barre,Wilkes-Barre VAMC,570-824-3521x27365,4,VA Wilkes-Barre health care,vha_693,1 to 1,
Wilmington,Wilmington VAMC,302-633-5280,4,VA Wilmington health care,vha_460,1 to 1,
