Id ;Facility Name;VAMC System Health Service;Facility description of services;Owner
vha_508 - Women Veteran care;'Atlanta VA Medical Center';'Women Veteran care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508QF - Primary care;'Atlanta VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GJ - Primary care;'Blairsville VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GN - Mental health care;'Covington VA Clinic';'Mental health care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GN - Laboratory and pathology;'Covington VA Clinic';'Laboratory and pathology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GN - Primary care;'Covington VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GN - Telehealth;'Covington VA Clinic';'Telehealth at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GA - Primary care;'Fort McPherson VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508QD - Primary care;'Fulton County VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508QE - Primary care;'Gwinnett County VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508QC - Primary care;'Henderson Mill VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GH - Primary care;'Lawrenceville VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GI - Primary care;'Newnan VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508QI - Primary care;'North DeKalb County VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GO - Primary care;'Northeast Cobb County VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GE - Primary care;'Oakwood VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GM - Primary care;'Pickens County VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GL - Primary care;'Rome VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GP - Mental health care;'South Cobb County VA Clinic';'Mental health care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GP - Primary care;'South Cobb County VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508QH - Mental health care;'South Fulton County VA Clinic';'Mental health care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508QH - Primary care;'South Fulton County VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GG - Primary care;'Stockbridge VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GK - Primary care;'Trinka Davis Veterans Village';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508GF - Primary care;'West Cobb County VA Clinic';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_509 - Complementary and alternative medicine;'Charlie Norwood Department of Veterans Affairs Medical Center';'Complementary and alternative medicine at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Amputation care;'Charlie Norwood Department of Veterans Affairs Medical Center';'Amputation care at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Audiology and speech;'Charlie Norwood Department of Veterans Affairs Medical Center';'Audiology and speech at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Extended care and rehabilitation;'Charlie Norwood Department of Veterans Affairs Medical Center';'Extended care and rehabilitation at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Caregiver support;'Charlie Norwood Department of Veterans Affairs Medical Center';'Caregiver support at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Chiropractic;'Charlie Norwood Department of Veterans Affairs Medical Center';'Chiropractic at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Dental/oral surgery;'Charlie Norwood Department of Veterans Affairs Medical Center';'Dental/oral surgery at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Vocational rehabilitation and employment programs;'Charlie Norwood Department of Veterans Affairs Medical Center';'Vocational rehabilitation and employment programs at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Homeless Veteran care;'Charlie Norwood Department of Veterans Affairs Medical Center';'Homeless Veteran care at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Physical therapy, occupational therapy and kinesiotherapy;'Charlie Norwood Department of Veterans Affairs Medical Center';'Physical therapy, occupational therapy and kinesiotherapy at VA Augusta health care';'';'VA Augusta health care'
vha_509 - LGBT Veteran care;'Charlie Norwood Department of Veterans Affairs Medical Center';'LGBT Veteran care at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Mental health care;'Charlie Norwood Department of Veterans Affairs Medical Center';'Mental health care at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Minority Veteran care;'Charlie Norwood Department of Veterans Affairs Medical Center';'Minority Veteran care at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Neurology;'Charlie Norwood Department of Veterans Affairs Medical Center';'Neurology at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Cancer care;'Charlie Norwood Department of Veterans Affairs Medical Center';'Cancer care at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Patient advocates;'Charlie Norwood Department of Veterans Affairs Medical Center';'Patient advocates at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Pharmacy;'Charlie Norwood Department of Veterans Affairs Medical Center';'Pharmacy at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Polytrauma and traumatic brain injury;'Charlie Norwood Department of Veterans Affairs Medical Center';'Polytrauma and traumatic brain injury at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Radiation oncology;'Charlie Norwood Department of Veterans Affairs Medical Center';'Radiation oncology at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Recreation and creative arts therapy;'Charlie Norwood Department of Veterans Affairs Medical Center';'Recreation and creative arts therapy at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Rehabilitation and prosthetics;'Charlie Norwood Department of Veterans Affairs Medical Center';'Rehabilitation and prosthetics at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Returning service member care;'Charlie Norwood Department of Veterans Affairs Medical Center';'Returning service member care at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Social work;'Charlie Norwood Department of Veterans Affairs Medical Center';'Social work at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Spinal cord injury and disorders;'Charlie Norwood Department of Veterans Affairs Medical Center';'Spinal cord injury and disorders at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Suicide prevention;'Charlie Norwood Department of Veterans Affairs Medical Center';'Suicide prevention at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Blind and low vision rehabilitation;'Charlie Norwood Department of Veterans Affairs Medical Center';'Blind and low vision rehabilitation at VA Augusta health care';'';'VA Augusta health care'
vha_509 - Women Veteran care;'Charlie Norwood Department of Veterans Affairs Medical Center';'Women Veteran care at VA Augusta health care';'';'VA Augusta health care'
vha_509A0 - Audiology and speech;'Augusta VA Medical Center-Uptown';'Audiology and speech at VA Augusta health care';'';'VA Augusta health care'
vha_509A0 - Dental/oral surgery;'Augusta VA Medical Center-Uptown';'Dental/oral surgery at VA Augusta health care';'';'VA Augusta health care'
vha_509A0 - Pharmacy;'Augusta VA Medical Center-Uptown';'Pharmacy at VA Augusta health care';'';'VA Augusta health care'
vha_509GB - Cardiovascular surgery;'Aiken Va Clinic';'Cardiovascular surgery at VA Augusta health care';'';'VA Augusta health care'
vha_509GB - Cardiology;'Aiken Va Clinic';'Cardiology at VA Augusta health care';'';'VA Augusta health care'
vha_509GB - Telehealth;'Aiken Va Clinic';'Telehealth at VA Augusta health care';'';'VA Augusta health care'
vha_509GB - Diabetic care;'Aiken Va Clinic';'Diabetic care at VA Augusta health care';'';'VA Augusta health care'
vha_509GB - MOVE! weight management;'Aiken Va Clinic';'MOVE! weight management at VA Augusta health care';'';'VA Augusta health care'
vha_509GB - Primary care;'Aiken Va Clinic';'Primary care at VA Augusta health care';'';'VA Augusta health care'
vha_509GB - Pharmacy;'Aiken Va Clinic';'Pharmacy at VA Augusta health care';'';'VA Augusta health care'
vha_509GB - Mental health care;'Aiken Va Clinic';'Mental health care at VA Augusta health care';'';'VA Augusta health care'
vha_509GB - Laboratory and pathology;'Aiken Va Clinic';'Laboratory and pathology at VA Augusta health care';'';'VA Augusta health care'
vha_509GB - Women Veteran care;'Aiken Va Clinic';'Women Veteran care at VA Augusta health care';'';'VA Augusta health care'
vha_509GA - Audiology and speech;'Athens VA Clinic';'Audiology and speech at VA Augusta health care';'';'VA Augusta health care'
vha_509GA - Cardiology;'Athens VA Clinic';'Cardiology at VA Augusta health care';'';'VA Augusta health care'
vha_509GA - Diabetic care;'Athens VA Clinic';'Diabetic care at VA Augusta health care';'';'VA Augusta health care'
vha_509GA - Primary care;'Athens VA Clinic';'Primary care at VA Augusta health care';'';'VA Augusta health care'
vha_509GA - Laboratory and pathology;'Athens VA Clinic';'Laboratory and pathology at VA Augusta health care';'';'VA Augusta health care'
vha_509GA - Pharmacy;'Athens VA Clinic';'Pharmacy at VA Augusta health care';'';'VA Augusta health care'
vha_509GA - Mental health care;'Athens VA Clinic';'Mental health care at VA Augusta health care';'';'VA Augusta health care'
vha_509GA - MOVE! weight management;'Athens VA Clinic';'MOVE! weight management at VA Augusta health care';'';'VA Augusta health care'
vha_509GA - Women Veteran care;'Athens VA Clinic';'Women Veteran care at VA Augusta health care';'';'VA Augusta health care'
vha_509QA - Telehealth;'Ray Hendrix Department Of Veterans Affairs Clinic';'Telehealth at VA Augusta health care';'';'VA Augusta health care'
vha_509QA - Cardiology;'Ray Hendrix Department Of Veterans Affairs Clinic';'Cardiology at VA Augusta health care';'';'VA Augusta health care'
vha_509QA - Diabetic care;'Ray Hendrix Department Of Veterans Affairs Clinic';'Diabetic care at VA Augusta health care';'';'VA Augusta health care'
vha_509QA - Primary care;'Ray Hendrix Department Of Veterans Affairs Clinic';'Primary care at VA Augusta health care';'';'VA Augusta health care'
vha_509QA - Laboratory and pathology;'Ray Hendrix Department Of Veterans Affairs Clinic';'Laboratory and pathology at VA Augusta health care';'';'VA Augusta health care'
vha_509QA - Pharmacy;'Ray Hendrix Department Of Veterans Affairs Clinic';'Pharmacy at VA Augusta health care';'';'VA Augusta health care'
vha_509QA - Mental health care;'Ray Hendrix Department Of Veterans Affairs Clinic';'Mental health care at VA Augusta health care';'';'VA Augusta health care'
vha_509QA - MOVE! weight management;'Ray Hendrix Department Of Veterans Affairs Clinic';'MOVE! weight management at VA Augusta health care';'';'VA Augusta health care'
vha_509QA - Women Veteran care;'Ray Hendrix Department Of Veterans Affairs Clinic';'Women Veteran care at VA Augusta health care';'';'VA Augusta health care'
vha_521 - Cardiology;'Birmingham VA Medical Center';'Cardiology at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Cardiovascular surgery;'Birmingham VA Medical Center';'Cardiovascular surgery at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Caregiver support;'Birmingham VA Medical Center';'Caregiver support at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Emergency care;'Birmingham VA Medical Center';'Emergency care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Surgery;'Birmingham VA Medical Center';'Surgery at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Geriatrics;'Birmingham VA Medical Center';'Geriatrics at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Gynecology;'Birmingham VA Medical Center';'Gynecology at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Homeless Veteran care;'Birmingham VA Medical Center';'Homeless Veteran care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - LGBT Veteran care;'Birmingham VA Medical Center';'LGBT Veteran care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Mental health care;'Birmingham VA Medical Center';'Mental health care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Minority Veteran care;'Birmingham VA Medical Center';'Minority Veteran care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Neurosurgery;'Birmingham VA Medical Center';'Neurosurgery at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Ophthalmology;'Birmingham VA Medical Center';'Ophthalmology at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Dental/oral surgery;'Birmingham VA Medical Center';'Dental/oral surgery at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Orthopedics;'Birmingham VA Medical Center';'Orthopedics at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Otolaryngology;'Birmingham VA Medical Center';'Otolaryngology at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Palliative and hospice care;'Birmingham VA Medical Center';'Palliative and hospice care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Patient advocates;'Birmingham VA Medical Center';'Patient advocates at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Pharmacy;'Birmingham VA Medical Center';'Pharmacy at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Plastic and reconstructive surgery;'Birmingham VA Medical Center';'Plastic and reconstructive surgery at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - PTSD care;'Birmingham VA Medical Center';'PTSD care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Primary care;'Birmingham VA Medical Center';'Primary care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Returning service member care;'Birmingham VA Medical Center';'Returning service member care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Social work;'Birmingham VA Medical Center';'Social work at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Addiction and substance abuse care;'Birmingham VA Medical Center';'Addiction and substance abuse care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Suicide prevention;'Birmingham VA Medical Center';'Suicide prevention at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Surgical oncology;'Birmingham VA Medical Center';'Surgical oncology at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Telehealth;'Birmingham VA Medical Center';'Telehealth at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Thoracic surgery;'Birmingham VA Medical Center';'Thoracic surgery at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Urology;'Birmingham VA Medical Center';'Urology at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Vascular surgery;'Birmingham VA Medical Center';'Vascular surgery at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Blind and low vision rehabilitation;'Birmingham VA Medical Center';'Blind and low vision rehabilitation at VA Birmingham health care';'';'VA Birmingham health care'
vha_521 - Women Veteran care;'Birmingham VA Medical Center';'Women Veteran care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GG - Mental health care;'Bessemer VA Clinic';'Mental health care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GG - My HealtheVet coordinator;'Bessemer VA Clinic';'My HealtheVet coordinator at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GG - Laboratory and pathology;'Bessemer VA Clinic';'Laboratory and pathology at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GG - Optometry;'Bessemer VA Clinic';'Optometry at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GG - Pharmacy;'Bessemer VA Clinic';'Pharmacy at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GG - Primary care;'Bessemer VA Clinic';'Primary care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GJ - Mental health care;'Birmingham VA Clinic';'Mental health care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GJ - My HealtheVet coordinator;'Birmingham VA Clinic';'My HealtheVet coordinator at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GJ - Laboratory and pathology;'Birmingham VA Clinic';'Laboratory and pathology at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GJ - Optometry;'Birmingham VA Clinic';'Optometry at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GJ - Pharmacy;'Birmingham VA Clinic';'Pharmacy at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GJ - Primary care;'Birmingham VA Clinic';'Primary care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521QA - Optometry;'Callahan VA Clinic';'Optometry at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GH - My HealtheVet coordinator;'Childersburg VA Clinic';'My HealtheVet coordinator at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GH - Mental health care;'Childersburg VA Clinic';'Mental health care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GH - Pharmacy;'Childersburg VA Clinic';'Pharmacy at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GH - Primary care;'Childersburg VA Clinic';'Primary care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GC - My HealtheVet coordinator;'Florence VA Clinic';'My HealtheVet coordinator at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GC - Mental health care;'Florence VA Clinic';'Mental health care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GC - Pharmacy;'Florence VA Clinic';'Pharmacy at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GC - Primary care;'Florence VA Clinic';'Primary care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GI - My HealtheVet coordinator;'Guntersville VA Clinic';'My HealtheVet coordinator at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GI - Mental health care;'Guntersville VA Clinic';'Mental health care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GI - Pharmacy;'Guntersville VA Clinic';'Pharmacy at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GI - Primary care;'Guntersville VA Clinic';'Primary care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GA - Audiology and speech;'Huntsville VA Clinic';'Audiology and speech at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GA - My HealtheVet coordinator;'Huntsville VA Clinic';'My HealtheVet coordinator at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GA - Mental health care;'Huntsville VA Clinic';'Mental health care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GA - Optometry;'Huntsville VA Clinic';'Optometry at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GA - Pharmacy;'Huntsville VA Clinic';'Pharmacy at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GA - Primary care;'Huntsville VA Clinic';'Primary care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GA - Radiology;'Huntsville VA Clinic';'Radiology at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GA - Women Veteran care;'Huntsville VA Clinic';'Women Veteran care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GF - My HealtheVet coordinator;'Jasper VA Clinic';'My HealtheVet coordinator at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GF - Mental health care;'Jasper VA Clinic';'Mental health care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GF - Pharmacy;'Jasper VA Clinic';'Pharmacy at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GF - Primary care;'Jasper VA Clinic';'Primary care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GE - My HealtheVet coordinator;'Oxford VA Clinic';'My HealtheVet coordinator at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GE - Mental health care;'Oxford VA Clinic';'Mental health care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GE - Pharmacy;'Oxford VA Clinic';'Pharmacy at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GE - Primary care;'Oxford VA Clinic';'Primary care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GD - My HealtheVet coordinator;'Rainbow City VA Clinic';'My HealtheVet coordinator at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GD - Mental health care;'Rainbow City VA Clinic';'Mental health care at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GD - Pharmacy;'Rainbow City VA Clinic';'Pharmacy at VA Birmingham health care';'';'VA Birmingham health care'
vha_521GD - Primary care;'Rainbow City VA Clinic';'Primary care at VA Birmingham health care';'';'VA Birmingham health care'
vha_619 - Audiology and speech;'Central Alabama VA Medical Center-Montgomery';'Audiology and speech at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Cardiology;'Central Alabama VA Medical Center-Montgomery';'Cardiology at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Caregiver support;'Central Alabama VA Medical Center-Montgomery';'Caregiver support at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Mental health care;'Central Alabama VA Medical Center-Montgomery';'Mental health care at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Pain management;'Central Alabama VA Medical Center-Montgomery';'Pain management at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Dermatology;'Central Alabama VA Medical Center-Montgomery';'Dermatology at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Nephrology;'Central Alabama VA Medical Center-Montgomery';'Nephrology at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Extended care and rehabilitation;'Central Alabama VA Medical Center-Montgomery';'Extended care and rehabilitation at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Gastroenterology;'Central Alabama VA Medical Center-Montgomery';'Gastroenterology at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Geriatrics;'Central Alabama VA Medical Center-Montgomery';'Geriatrics at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Gynecology;'Central Alabama VA Medical Center-Montgomery';'Gynecology at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Homeless Veteran care;'Central Alabama VA Medical Center-Montgomery';'Homeless Veteran care at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Surgery;'Central Alabama VA Medical Center-Montgomery';'Surgery at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Physical therapy, occupational therapy and kinesiotherapy;'Central Alabama VA Medical Center-Montgomery';'Physical therapy, occupational therapy and kinesiotherapy at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - LGBT Veteran care;'Central Alabama VA Medical Center-Montgomery';'LGBT Veteran care at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Minority Veteran care;'Central Alabama VA Medical Center-Montgomery';'Minority Veteran care at VA Central Alabama health care';'';'VA Central Alabama health care'
vha_619 - Hematology/oncology;'Central Alabama VA Medical Center-Montgomery';'Hematology/oncology at VA Central Alabama health care';'';'VA Central Alabama health care'
