Id;Health Service;Full Upload;Health System;Owner
Infectious disease-VA Cheyenne health care;'Infectious disease';'<h3>Care we provide at VA Cheyenne health care</h3> <p>We test for, evaluate, and treat many infectious diseases. We offer:</p> <ul><li>Testing and screening for hepatitis C, HIV/AIDS, tuberculosis, and other infectious diseases</li><li>Prevention strategies and treatment</li><li>Compassionate care and counseling for people who are living with infectious diseases </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Internal medicine-VA Cheyenne health care;'Internal medicine';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Our internists are primary-care doctors who treat adults for a wide range of health issues. Our internists can:</p> <ul><li>Perform checkups for annual, employee, and sports physical exams</li><li>Order blood work and lab services</li><li>Prescribe and manage your medicine</li><li>Provide preventative care, like tips on diet, exercise, and healthy living</li><li>Treat you when you’re sick or follow up with you after your hospital stay</li><li>Refer you to specialists </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Laboratory and pathology-VA Cheyenne health care;'Laboratory and pathology';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Our laboratories provide a full range of clinical and diagnostic testing services. Our laboratory and pathology services include:</p> <ul><li>Study of blood, urine, and other bodily fluids for illness management</li><li>Testing for infectious diseases</li><li>Cytopathology (study of unusual cells) and surgical pathology (study of tissue removed during surgery)</li><li>Autopsy services </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
LGBT Veteran care-VA Cheyenne health care;'LGBT Veteran care';'<h3>Care we provide at VA Cheyenne health care</h3> <p>We promote the health, welfare, and dignity of lesbian, gay, bisexual, and transgender (LGBT) Veterans and their families. We focus on ensuring a safe, welcoming, and affirmative environment when providing you with sensitive and high-quality health care services like:</p> <ul><li>Hormone therapy</li><li>Substance use and alcohol treatment</li><li>Testing and treatment for HIV and STIs (sexually transmitted infections)</li><li>Mental health care</li><li>Psychosocial assessments for gender-confirming surgeries and hormone therapy </li></ul>Learn more and connect with a care coordinator';'VA Cheyenne health care';'VA Cheyenne health care'
Low vision and blind rehabilitation-VA Cheyenne health care;'Low vision and blind rehabilitation';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Our low vision outpatient clinic can assess your needs and provide a rehab plan tailored to your personal goals. Our team of specialists and social workers will work with you to find the right aids and services. Our clinic services include:</p> <ul><li>Comprehensive eye exams</li><li>Visual skills assessments</li><li>Guidance on how to develop visual motor and perceptual skills</li><li>Training to help you manage daily activities with your vision loss </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Mental health care-VA Cheyenne health care;'Mental health care';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Our medical center and clinics provide consultation, evaluation, and treatment for a range of issues that may impact your mental health or emotional well-being. Our confidential outpatient services include individual and group therapy for:</p> <ul><li>Psychiatric disorders such as schizophrenia, bipolar disorder, and depression</li><li>Marriage and relationship problems</li><li>Posttraumatic stress disorder (PTSD)</li><li>Anxiety, addictive behaviors, and personality disorders</li><li>Aggressive or self-harming behaviors </li></ul>Learn more and connect with a care coordinator';'VA Cheyenne health care';'VA Cheyenne health care'
Military sexual trauma-VA Cheyenne health care;'Military sexual trauma';'<h3>Care we provide at VA Cheyenne health care</h3> <p>We offer care for military sexual trauma in our mental (behavioral) health clinics. Military sexual trauma refers to sexual assault, sexual harassment, or other threatening, offensive, or unwanted sexual advances, activities, or remarks that you experienced in the military. Our goal is to help you improve your quality of life with strategies to manage emotions and memories related to your military sexual trauma. Our services include:</p> <ul><li>Counseling</li><li>Psychiatric care</li><li>Walk-in care </li></ul>Learn more about military sexual trauma';'VA Cheyenne health care';'VA Cheyenne health care'
My HealtheVet coordinator-VA Cheyenne health care;'My HealtheVet coordinator';'<h3>Care we provide at VA Cheyenne health care</h3> <p>My HealtheVet is a web-based tool you can use to manage your care and improve your health from your computer or mobile device. You can access your personal health records and use tools to manage your care through our My HealtheVet online system. You can also use My HealtheVet to refill your prescriptions, track appointments, and read informative health articles. If you need help using My HealtheVet, you can contact our coordinator by phone or in person. With My HealtheVet, you can:</p> <ul><li>Ask questions and exchange secure online messages with your VA health care team</li><li>Check your lab and test results</li><li>Refill your prescriptions, track delivery, and view a list of your medications</li><li>Keep track of your VA medical appointments and get email reminders</li><li>View, download, or print a copy of your VA medical records</li><li>Enter or update your personal information </li></ul>Learn more and register for <a href="https://www.myhealth.va.gov/mhv-portal-web/home">My HealtheVet</a>';'VA Cheyenne health care';'VA Cheyenne health care'
Neurology-VA Cheyenne health care;'Neurology';'<h3>Care we provide at VA Cheyenne health care</h3> <p>We provide inpatient and outpatient services for chronic diseases and disorders that affect your brain, spine, and the nerves that connect them. Our neurologists read electroencephalogram (EEG) recordings, which measure the electrical impulses brain cells use to communicate with each other. We evaluate and treat many neurological illnesses and disorders such as:</p> <ul><li>Neuropathy (nerve damage), myelopathy and other spinal cord injuries, and radiculopathy (pinched nerves)</li><li>Parkinson’s disease, epilepsy, and multiple sclerosis</li><li>Stroke, dementia, and degenerative diseases</li><li>Other neurological conditions </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Nutrition, food, and dietary-VA Cheyenne health care;'Nutrition, food, and dietary';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Our registered dietitians can help you maintain or improve your health with good nutrition tailored to your needs. Through group, individual, and telehealth sessions, we provide nutrition education and counseling in areas such as:</p> <ul><li>Cardiovascular and heart health</li><li>Chronic kidney disease</li><li>Diabetes (including gestational diabetes)</li><li>Eating disorders and digestive health</li><li>Pregnancy and postpartum nutrition</li><li>Weight management </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Ophthalmology-VA Cheyenne health care;'Ophthalmology';'<h3>Care we provide at VA Cheyenne health care</h3> <p>We offer comprehensive evaluation, diagnosis, and treatment for eye-related illnesses, injuries, and other issues. Our ophthalmology services include:</p> <ul><li>Medical care for glaucoma, eye infections, and other conditions</li><li>Surgery for cataracts, traumatic eye injuries, and other problems</li><li>Treatment for eye conditions related to illnesses like diabetes or arthritis</li><li>Plastic surgery to repair droopy eyelids, clear blocked tear ducts, and perform eyelid and facial reconstruction (oculoplastics) </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Optometry-VA Cheyenne health care;'Optometry';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Our optometrists provide many eye-related services and treatments like:</p> <ul><li>Vision services and eye exams</li><li>Treatment for diseases and injuries of the retina, cornea, and other parts of your eye</li><li>Low-vision services for conditions like macular degeneration that can’t be corrected by glasses, surgery, or medication</li><li>Special eye exams for diabetic patients </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Otolaryngology-VA Cheyenne health care;'Otolaryngology';'<h3>Care we provide at VA Cheyenne health care</h3> <p>We evaluate, diagnose, and treat a wide range of ear, nose, and throat conditions, like:</p> <ul><li>Nasal and sinus problems</li><li>Obstructive sleep apnea</li><li>Throat, lymph node, thyroid, and parathyroid tumors and other conditions</li><li>Voice and swallowing disorders </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Patient advocates-VA Cheyenne health care;'Patient advocates';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Our patient advocates work hard to make sure you receive the best possible care at our health care facilities. They can:</p> <ul><li>Help you get answers or address concerns with your care team</li><li>Advocate for patient and family rights</li><li>Serve as advocates for minority Veterans, women Veterans, and Veterans with disabilities</li><li>Offer specialized help to former prisoners of war and Veterans transitioning from Operation Enduring Freedom (OEF), Operation Iraqi Freedom (OIF), and Operation New Dawn (OND) </li></ul>Learn more and connect with a patient advocate';'VA Cheyenne health care';'VA Cheyenne health care'
Pharmacy-VA Cheyenne health care;'Pharmacy';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Our pharmacy provides you and other Veterans with convenient, efficient service to make it easy to get your medications and medical supplies. You can:</p> <ul><li>Pick up new prescriptions in person</li><li>Refill prescriptions online and by phone or mail</li><li>Safely dispose of medicines </li></ul>Learn more about our pharmacy';'VA Cheyenne health care';'VA Cheyenne health care'
Physical medicine and rehabilitation-VA Cheyenne health care;'Physical medicine and rehabilitation';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Our physical medicine and rehabilitation doctors and therapists focus on whole-body health. They can help you manage your pain, increase your independence, and improve your quality of life with services like:</p> <ul><li>Personalized therapy for your rehabilitation</li><li>Medication, stretching, and massage for short-term pain relief</li><li>Strengthening exercises and movement therapy to increase fitness and prevent future pain</li><li>Recreation therapy to create coping and social skills</li><li>Occupational therapy to improve coordination and balance, and help you manage life skills and everyday activities</li><li>Assessment and treatment of speech, language, and swallowing disorders </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Physical therapy, occupational therapy and kinesiotherapy-VA Cheyenne health care;'Physical therapy, occupational therapy and kinesiotherapy';'<h3>Care we provide at VA Cheyenne health care</h3> <p>If you’re living with or recovering from an injury, illness, or chronic condition that limits your mobility and independence, we can help. Our physical, occupational, and movement therapists combine therapeutic exercise, counseling, education, and training to help you improve your health and quality of life. Our services include:</p> <ul><li>Pain relief and joint mobilization</li><li>Movement and exercise therapies to improve your strength, endurance, balance, and coordination</li><li>Mobility assessment and training with wheelchairs, scooters, and walking devices</li><li>Life skills training and activities to help you maintain the highest level of independence and functionality</li><li>Aquatic therapy to manage chronic pain</li><li>Evaluation and treatment for a wide range of medical, orthopedic, psychosocial, and neurological conditions </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Primary care-VA Cheyenne health care;'Primary care';'<h3>Care we provide at VA Cheyenne health care</h3> <p>A strong network of family and internal medicine specialists and services can offer you the best possible care. Internal medicine doctors (internists) prevent, diagnose, and treat adult diseases. Doctors who specialize in family medicine provide primary health care to the entire family. Your primary care team can coordinate the many services you receive such as:</p> <ul><li>Labs and blood work</li><li>Mental health care</li><li>Women's health care</li><li>Radiology</li><li>Social services</li><li>Telehealth </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
PTSD treatment-VA Cheyenne health care;'PTSD treatment';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Posttraumatic stress disorder (PTSD) is a mental health problem that some people develop after experiencing or witnessing a life-threatening event, like combat, a natural disaster, a car accident, or sexual assault. It’s normal to have upsetting memories, feel on edge, or have trouble sleeping after this type of event. If symptoms last more than a few months, it may be PTSD. We can help you with effective treatments and support services, like:</p> <ul><li>Psychiatric and psychological counseling</li><li>Services for homeless Veterans</li><li>Treatment for addictive disorders</li><li>Transition and care management for post-9/11 combat Veterans of Operation Enduring Freedom (OEF), Operation Iraqi Freedom (OIF), and Operation New Dawn (OND) </li></ul>Learn more about <a href="https://www.ptsd.va.gov">PTSD</a>';'VA Cheyenne health care';'VA Cheyenne health care'
Pulmonary medicine-VA Cheyenne health care;'Pulmonary medicine';'<h3>Care we provide at VA Cheyenne health care</h3> <p>If you find it difficult to breathe or sleep, our pulmonary (lung) specialists can help. We offer education, exercises, and treatments like:</p> <ul><li>Oxygen therapy to help you stay active and breathe better</li><li>Pulmonary rehabilitation to build your strength and increase lung capacity</li><li>Healthy diets to help you manage your weight and improve energy</li><li>Strategies to help you increase your feelings of control, optimism, and self-esteem</li><li>Tests to measure your lung function, lung volume, and blood gas </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Radiology-VA Cheyenne health care;'Radiology';'<h3>Care we provide at VA Cheyenne health care</h3> <p>We offer radiology and imaging services to diagnose and treat many medical conditions. Our services include:</p> <ul><li>X-ray</li><li>Ultrasound</li><li>Mammography (mammograms)</li><li>Computer tomography (CT)</li><li>Positron emission tomography (PET)</li><li>Magnetic resonance imaging (MRI) </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Registry exams-VA Cheyenne health care;'Registry exams';'<h3>Care we provide at VA Cheyenne health care</h3> <p>This free, voluntary, and comprehensive health exam involves an exposure and medical history, laboratory tests, and a physical exam. We will discuss your results in a face-to-face meeting and follow up with a letter. The registry evaluation, which does not verify exposure, is separate from VA’s disability compensation process. You may be eligible to participate in one or more of these health registries if you served during these time periods:</p> <ul><li>Ionizing radiation (1940s to 1960s)</li><li>Agent Orange (1960s and 1970s)</li><li>Airborne hazards and open burn pit (1990s to present)</li><li>Gulf War (1990s to present)</li><li>Depleted uranium (DU) (1990s to present)</li><li>Toxic embedded fragments/shrapnel (2000s to present) </li></ul>Learn more about <a href="https://www.publichealth.va.gov/exposures/benefits/registry-evaluation.asp">VA Health Registry</a>';'VA Cheyenne health care';'VA Cheyenne health care'
Rehabilitation and prosthetics-VA Cheyenne health care;'Rehabilitation and prosthetics';'<h3>Care we provide at VA Cheyenne health care</h3> <p>VA is the world’s largest and most comprehensive provider of sensory aides and prosthetic devices. Veterans enrolled in the VA health care system and referred by a physical medicine and rehabilitation physician can receive a full range of services and equipment like:</p> <ul><li>Artificial limbs and surgical implants, including artificial joints and pacemakers</li><li>Wheelchairs and other medical devices</li><li>Aids for Veterans who are blind, have low vision, or are hearing impaired</li><li>Adaptive equipment and modifications to make your vehicle or home more accessible</li><li>Other devices and services to help increase your mobility, dignity, and independence</li><li>Clothing allowance for Veterans with devices that damage their clothing </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Returning service member care-VA Cheyenne health care;'Returning service member care';'<h3>Care we provide at VA Cheyenne health care</h3> <p>At VA <<insert facility name>> health care, we can help you readjust to civilian life if you’re returning from military service, on active duty, or an activated National Guard or Reserve member. Talk to one of our care coordinators about how to best use your health care benefits.</p> <ul><li>Polytrauma care (if you have multiple traumatic injuries)</li><li>Counseling and rehabilitation</li><li>Mental and behavioral health services</li><li>Family benefits counseling and assistance</li><li>Referral assistance </li></ul>Learn more and connect with a coordinator';'VA Cheyenne health care';'VA Cheyenne health care'
Sleep medicine-VA Cheyenne health care;'Sleep medicine';'<h3>Care we provide at VA Cheyenne health care</h3> <p>At various points in our lives, all of us suffer from a lack of sleep. But, if you are spending enough time in bed and still wake up tired or feel very sleepy during the day, you may have a sleep disorder. We can help. Our sleep specialists can:</p> <ul><li>Diagnose and treat sleep apnea and other sleep disorders</li><li>Monitor your blood oxygen levels and heart rate</li><li>Study your brain waves during sleep</li><li>Evaluate possible causes for your excessive sleepiness</li><li>Conduct sleep tests performed at home or in the lab</li><li>Work with your doctors if you need surgery or dental appliances to help you get a good night’s sleep </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Social work-VA Cheyenne health care;'Social work';'<h3>Care we provide at VA Cheyenne health care</h3> <p>Social work is integral to health care. We can help you and your family manage stress-related problems due to injury or illness, and find VA community resources to meet your needs like:</p> <ul><li>Home health services</li><li>Legal services</li><li>Transportation</li><li>Community living </li></ul>';'VA Cheyenne health care';'VA Cheyenne health care'
Spinal cord injury and disorders-VA Cheyenne health care;'Spinal cord injury and disorders';'<h3>Care we provide at VA Cheyenne health care</h3> <p>VA has the nation’s largest system of care for spinal cord injuries and disorders. We provide a convenient, connected network of experts to care for you during each phase of your life. Our experienced primary care providers are trained to check for problems unique to spinal cord injuries.</p> <ul><li>Pressure ulcers</li><li>Pneumonia</li><li>Blood clots</li><li>Bladder and sexual issues</li><li>Constipation and other gastrointestinal problems</li><li>Sexual issues </li></ul><a href="https://www.sci.va.gov/VAs_SCID_System_of_Care.asp">Learn more about the VA spinal cord injuries and disorders care system</a>';'VA Cheyenne health care';'VA Cheyenne health care'
Audiology and speech-VA Salt Lake City health care;'Audiology and speech';'<h3>Care we provide at VA Salt Lake City health care</h3> <p>Our Audiology and Speech Pathology clinic provides diagnostic and rehabilitative services, VA compensation and pension examinations, and screening for employee hearing conservation. We offer a full range of audiology and speech pathology services like:</p> <ul><li>Hearing and balance evaluations</li><li>Selection, management, and repair of hearing aids and assistive listening device assessments</li><li>Evaluation, programming, and management of cochlear implants and bone-anchored implants</li><li>Evaluation and treatment for auditory processing disorder</li><li>Services that help with speech, language, fluency, voice, cognitive communication, swallowing, stuttering, and laryngectomy (surgical removal of the larynx, which contains your vocal cords) </li></ul>Learn more about <a href="https://www.prosthetics.va.gov/psas/Hearing_Aids.asp">VA hearing aids</a>';'VA Salt Lake City health care';'VA Salt Lake City health care'
Caregiver support-VA Salt Lake City health care;'Caregiver support';'<h3>Care we provide at VA Salt Lake City health care</h3> <p>If you’re a caregiver for a Veteran, you can get support by contacting one of our caregiver support coordinators. If the Veteran you care for was injured post-9/11, you may be eligible for even more services, including a stipend to help with expenses, training, and medical coverage if you aren’t already covered. For all caregivers, we can:</p> <ul><li>Help you get caregiver assistance available through VA</li><li>Provide progressive needs planning to help you manage degenerative conditions</li><li>Match you with services and benefits</li><li>Connect you with local resources and programs</li><li>Listen to you when you struggle</li><li>Provide you with additional help at home </li></ul>Learn more and connect with a support coordinator';'VA Salt Lake City health care';'VA Salt Lake City health care'
Dental/oral surgery-VA Salt Lake City health care;'Dental/oral surgery';'<h3>Care we provide at VA Salt Lake City health care</h3> <p>If you’re eligible for VA dental care, we offer a full range of quality dental services like:</p> <ul><li>Routine exams and teeth cleaning</li><li>Restorative procedures, including fillings and crowns</li><li>Comprehensive surgical care, including extractions (pulling teeth) and oral cancer screening</li><li>Routine and advanced prosthodontic care, including bridges, dentures, and dental implants</li><li>Routine and advanced periodontal care, including root canals, gum treatments, and supporting bone care</li><li>Oral and facial reconstruction surgery to repair damage from traumatic injury or serious illness </li></ul>';'VA Salt Lake City health care';'VA Salt Lake City health care'
Emergency care-VA Salt Lake City health care;'Emergency care';'<h3>Care we provide at VA Salt Lake City health care</h3> <p>We provide emergency medical care 24 hours a day, every day. Our emergency room staff can help you with:</p> <ul><li>Life-threatening illnesses and injuries that require immediate attention</li><li>Urgent medical issues that must be treated right away</li><li>Psychiatric evaluations </li></ul>';'VA Salt Lake City health care';'VA Salt Lake City health care'
Extended care and rehabilitation-VA Salt Lake City health care;'Extended care and rehabilitation';'<h3>Care we provide at VA Salt Lake City health care</h3> <p>We provide long-term care to help you and your family when you’re dealing with a disability, chronic (long-lasting) illness, terminal illness, or serious health issues related to aging. Our long-term health care services include:</p> <ul><li>24/7 nursing and medical care</li><li>Physical therapy</li><li>Help with daily tasks like bathing, dressing, making meals, and taking medicine</li><li>Pain management and palliative care to relieve suffering and improve quality of life for people with serious illnesses</li><li>Hospice care to provide comfort and compassionate care for people in the last phases of an incurable illness</li><li>To learn more about the different types of extended care that VA provides, see our guide to long-term services and support. </li></ul>Learn more about <a href="https://www.va.gov/GERIATRICS/">VA long term care</a>';'VA Salt Lake City health care';'VA Salt Lake City health care'
Geriatrics-VA Salt Lake City health care;'Geriatrics';'<h3>Care we provide at VA Salt Lake City health care</h3> <p>We assess your situation and condition to decide which outpatient geriatric services are right for you or a senior Veteran in your care, and then we coordinate your care. Our team of specialists provides geriatric services that include:</p> <ul><li>Medicine and nursing</li><li>Psychology, psychiatry, and social work</li><li>Physical and occupational therapy </li></ul>Learn more about VA long term care <a href="https://www.va.gov/GERIATRICS/">www.va.gov/geriatrics/</a>';'VA Salt Lake City health care';'VA Salt Lake City health care'
Homeless Veteran care-VA Salt Lake City health care;'Homeless Veteran care';'<h3>Care we provide at VA Salt Lake City health care</h3> <p>We help homeless Veterans, or those at risk of becoming homeless due to financial hardship, unemployment, addiction, depression, or transition from jail. Contact one of our care coordinators to get help with:</p> <ul><li>Immediate food and shelter needs, including both transitional and permanent housing</li><li>Job training, life skills development, and education</li><li>Justice system navigation and community reentry from jail</li><li>Financial support to prevent homelessness</li><li>Addiction and depression treatment</li><li>Health and dental care </li></ul>Learn more and connect with a care coordinator';'VA Salt Lake City health care';'VA Salt Lake City health care'
LGBT Veteran care-VA Salt Lake City health care;'LGBT Veteran care';'<h3>Care we provide at VA Salt Lake City health care</h3> <p>We promote the health, welfare, and dignity of lesbian, gay, bisexual, and transgender (LGBT) Veterans and their families. We focus on ensuring a safe, welcoming, and affirmative environment when providing you with sensitive and high-quality health care services like:</p> <ul><li>Hormone therapy</li><li>Substance use and alcohol treatment</li><li>Testing and treatment for HIV and STIs (sexually transmitted infections)</li><li>Mental health care</li><li>Psychosocial assessments for gender-confirming surgeries and hormone therapy </li></ul>Learn more and connect with a care coordinator';'VA Salt Lake City health care';'VA Salt Lake City health care'
Low vision and blind rehabilitation-VA Salt Lake City health care;'Low vision and blind rehabilitation';'<h3>Care we provide at VA Salt Lake City health care</h3> <p>Our low vision outpatient clinic can assess your needs and provide a rehab plan tailored to your personal goals. Our team of specialists and social workers will work with you to find the right aids and services. Our clinic services include:</p> <ul><li>Comprehensive eye exams</li><li>Visual skills assessments</li><li>Guidance on how to develop visual motor and perceptual skills</li><li>Training to help you manage daily activities with your vision loss </li></ul>';'VA Salt Lake City health care';'VA Salt Lake City health care'
