ID;Health Services;Full Upload;Health System;Owner
Gastroenterology at VA Amarillo health care;Gastroenterology;<H3>Care we provide at VA Amarillo health care</H3><p>We diagnose and treat medical conditions in your esophagus, stomach, intestines, colon, and other parts of your digestive system. We can also test and treat other organs, like your liver, pancreas, and gallbladder. Our gastroenterology department provides services like:<p><ul><li>Colonoscopy, esophagogastroduodenoscopy (EGD), and endoscopic retrograde cholangiopancreatography (ERCP), which use an endoscope (a long, flexible tube with a small camera on the end) that lets us examine your digestive system</li><li>Endoscopic ultrasound, which uses high-frequency sound waves to create images that help us diagnose and evaluate digestive and lung diseases</li><li>Manometry study, which tests how well your esophagus is working</li><li>Small bowel capsule endoscopy, which uses a tiny wireless camera that takes pictures as it moves through your digestive system</li><li>24-hour pH study, which measures how much stomach acid is flowing into your esophagus and helps us assess conditions like severe heartburn and acid reflux</li></ul>;VA Amarillo health care;VA Amarillo health care
Hematology/oncology at VA Amarillo health care;Hematology/oncology;<H3>Care we provide at VA Amarillo health care</H3><p>We offer a range of hematology and oncology services. You can arrange appointments and consultation through your primary care provider. Our hematology and oncology services include:<p><ul><li>Chemotherapy</li><li>Blood and platelet transfusions</li><li>Mediport flushes to clean and maintain the small medical appliance inserted under your skin, making it easier to inject drugs and draw blood</li><li>Evaluation and treatment of blood disorders and cancer</li><li>Dedicated outpatient infusion center, working closely with radiation oncology, interventional radiology, general surgery, diagnostics, palliative care, and social services</li><li>Bone marrow biopsies, to see whether your bone tissue is healthy and making a normal number of blood cells</li></ul>;VA Amarillo health care;VA Amarillo health care
Homeless Veteran care at VA Amarillo health care;Homeless Veteran care;<H3>Care we provide at VA Amarillo health care</H3><p>We help Veterans who are homeless or at risk of becoming homeless due to financial hardship, unemployment, addiction, depression, or transition from jail. Contact one of our care coordinators to get help with:<p><ul><li>Immediate food and shelter needs, including both transitional and permanent housing</li><li>Job training, life skills development, and education</li><li>Justice system navigation and community reentry from jail</li><li>Financial support to prevent homelessness</li><li>Addiction and depression treatment</li><li>Health and dental care</li></ul><p>Learn more and connect with a care coordinator;VA Amarillo health care;VA Amarillo health care
Infectious disease at VA Amarillo health care;Infectious disease;<H3>Care we provide at VA Amarillo health care</H3><p>We test for, evaluate, and treat many infectious diseases. We offer:<p><ul><li>Testing and screening for hepatitis C, HIV/AIDS, tuberculosis, and other infectious diseases</li><li>Prevention strategies and treatment</li><li>Compassionate care and counseling for people who are living with infectious diseases</li></ul>;VA Amarillo health care;VA Amarillo health care
Internal medicine at VA Amarillo health care;Internal medicine;'<H3>Care we provide at VA Amarillo health care</H3><p>Our internists are primary-care doctors who treat adults for a wide range of health issues. Our internists can:<p><ul><li>Perform checkups for annual, employee, and sports physical exams</li><li>Order blood work and lab services</li><li>Prescribe and manage your medicine</li><li>Provide preventative care, like tips on diet, exercise, and healthy living</li><li>Treat you when you''re sick or follow up with you after your hospital stay</li><li>Refer you to specialists</li></ul>';VA Amarillo health care;VA Amarillo health care
Laboratory and pathology at VA Amarillo health care;Laboratory and pathology;<H3>Care we provide at VA Amarillo health care</H3><p>Our laboratories provide a full range of clinical and diagnostic testing services. Our laboratory and pathology services include:<p><ul><li>Study of blood, urine, and other bodily fluids for illness management</li><li>Testing for infectious diseases</li><li>Cytopathology (study of unusual cells) and surgical pathology (study of tissue removed during surgery)</li><li>Autopsy services</li></ul>;VA Amarillo health care;VA Amarillo health care
LGBT Veteran care at VA Amarillo health care;LGBT Veteran care;<H3>Care we provide at VA Amarillo health care</H3><p>We promote the health, welfare, and dignity of lesbian, gay, bisexual, and transgender (LGBT) Veterans and their families. We focus on ensuring a safe, welcoming, and affirmative environment when providing you with sensitive and high-quality health care services like:<p><ul><li>Hormone therapy</li><li>Substance use and alcohol treatment</li><li>Testing and treatment for HIV and sexually transmitted infections (STI)</li><li>Mental health care</li><li>Psychosocial assessments for gender-confirming surgeries and hormone therapy</li></ul><p>Learn more and connect with a care coordinator;VA Amarillo health care;VA Amarillo health care
Mental health care at VA Amarillo health care;Mental health care;<H3>Care we provide at VA Amarillo health care</H3><p>Our medical center and clinics provide consultation, evaluation, and treatment for a range of issues that may impact your mental health or emotional well-being. Our confidential outpatient services include individual and group therapy for:<p><ul><li>Psychiatric disorders such as schizophrenia, bipolar disorder, and depression</li><li>Marriage and relationship problems</li><li>Post-traumatic stress disorder (PTSD)</li><li>Anxiety, addictive behaviors, and personality disorders</li><li>Aggressive or self-harming behaviors</li></ul><p>Learn more and connect with a care coordinator;VA Amarillo health care;VA Amarillo health care
Minority Veteran care at VA Amarillo health care;Minority Veteran care;'<H3>Care we provide at VA Amarillo health care</H3><p>If you''re a minority Veteran, we can help you get the services and benefits you need. Our Minority Veterans Program serves all Veterans who are Black American, Asian American, Hispanic American, and Native American (including American Indians, Alaska Natives, Native Hawaiians, and Pacific Island Americans). We work to:<p><ul><li>Help the medical center address minority Veterans'' needs</li><li>Meet minority Veterans'' needs in the local community</li><li>Identify barriers and create a more accessible environment for minority Veterans</li><li>Inform minority Veterans of VA benefits, services, and programs</li></ul><p>Learn more and connect with a care coordinator';VA Amarillo health care;VA Amarillo health care
MOVE! weight management at VA Amarillo health care;MOVE! weight management;<H3>Care we provide at VA Amarillo health care</H3><p>MOVE! is a weight-management program designed to help you live a longer, healthier life. With the help of your MOVE! care team, you can eat a healthier diet, get more exercise, reduce your health risks, and improve your quality of life. The MOVE! program offers:<p><ul><li>Weight-loss support groups to help you lose weight and keep it off</li><li>Healthy eating tips and cooking classes</li><li>Behavioral change strategies to help you live a healthier lifestyle</li></ul><p><a href="https://www.move.va.gov/">Learn more about MOVE!</a>;VA Amarillo health care;VA Amarillo health care
Nephrology at VA Amarillo health care;Nephrology;<H3>Care we provide at VA Amarillo health care</H3><p>Our team of kidney doctors (nephrologists) actively manage all aspects of adult kidney disease, kidney and bladder stones, renal hypertension (high blood pressure caused by kidney disease), and mineral and bone disorders. We provide inpatient and outpatient services, like:<p><ul><li>Dialysis preparation and referral</li><li>Home patient monitoring</li><li>Kidney transplant evaluation</li><li>Kidney disease education</li></ul>;VA Amarillo health care;VA Amarillo health care
Neurology at VA Amarillo health care;Neurology;'<H3>Care we provide at VA Amarillo health care</H3><p>We provide inpatient and outpatient services for chronic diseases and disorders that affect your brain, spine, and the nerves that connect them. Our neurologists read electroencephalogram (EEG) recordings, which measure the electrical impulses brain cells use to communicate with each other. We evaluate and treat many neurological illnesses and disorders such as:<p><ul><li>Neuropathy (nerve damage), myelopathy and other spinal cord injuries, and radiculopathy (pinched nerves)</li><li>Parkinson''s disease, epilepsy, and multiple sclerosis</li><li>Stroke, dementia, and degenerative diseases</li><li>Other neurological conditions</li></ul>';VA Amarillo health care;VA Amarillo health care
Nutrition, food, and dietary care at VA Amarillo health care;Nutrition, food, and dietary care;<H3>Care we provide at VA Amarillo health care</H3><p>Our registered dietitians can help you maintain or improve your health with good nutrition tailored to your needs. Through group, individual, and telehealth sessions, we provide nutrition education and counseling in areas such as:<p><ul><li>Cardiovascular and heart health</li><li>Chronic kidney disease</li><li>Diabetes (including gestational diabetes)</li><li>Eating disorders and digestive health</li><li>Pregnancy and postpartum nutrition</li><li>Weight management</li></ul>;VA Amarillo health care;VA Amarillo health care
Palliative and hospice care at VA Amarillo health care;Palliative and hospice care;<H3>Care we provide at VA Amarillo health care</H3><p>Our palliative and hospice care services support you and your family as you cope with a life-threatening or terminal illness. Palliative care works to provide comfort, reduce suffering, and improve the quality of life for patients being treated for serious illnesses. Hospice care focuses on helping patients with terminal illnesses to manage the final stages of their lives. Our palliative and hospice care services include:<p><ul><li>Pain and symptom management</li><li>Emotional, spiritual, and psychosocial support for you and your family</li><li>Help with practical issues that include an advance directive (living will), health care power of attorney, funeral arrangements, and applying for VA death and burial benefits</li><li>Education to help you and your family make informed health care decisions and know what to expect as your health declines</li><li>Bereavement care to help surviving family members during the grieving process</li></ul>;VA Amarillo health care;VA Amarillo health care
Patient advocates at VA Amarillo health care;Patient advocates;<H3>Care we provide at VA Amarillo health care</H3><p>Our patient advocates work hard to make sure you receive the best possible care at our health care facilities. They can:<p><ul><li>Help you get answers or address concerns with your care team</li><li>Advocate for patient and family rights</li><li>Serve as advocates for minority Veterans, women Veterans, and Veterans with disabilities</li><li>Offer specialized help to former prisoners of war and Veterans transitioning from Operation Enduring Freedom (OEF), Operation Iraqi Freedom (OIF), and Operation New Dawn (OND)</li></ul><p>Learn more and connect with a patient advocate;VA Amarillo health care;VA Amarillo health care
Pharmacy at VA Amarillo health care;Pharmacy;<H3>Care we provide at VA Amarillo health care</H3><p>Our pharmacy provides you and other Veterans with convenient, efficient service to make it easy to get your medications and medical supplies. You can:<p><ul><li>Pick up new prescriptions in person</li><li>Refill prescriptions online and by phone or mail</li><li>Safely dispose of medicines</li></ul><p>Learn more about our pharmacy;VA Amarillo health care;VA Amarillo health care
Physical therapy, occupational therapy and kinesiotherapy at VA Amarillo health care;Physical therapy, occupational therapy and kinesiotherapy;'<H3>Care we provide at VA Amarillo health care</H3><p>If you''re living with or recovering from an injury, illness, or chronic condition that limits your mobility and independence, we can help. Our physical, occupational, and movement therapists combine therapeutic exercise, counseling, education, and training to help you improve your health and quality of life. Our services include:<p><ul><li>Pain relief and joint mobilization</li><li>Movement and exercise therapies to improve your strength, endurance, balance, and coordination</li><li>Mobility assessment and training with wheelchairs, scooters, and walking devices</li><li>Life skills training and activities to help you maintain the highest level of independence and functionality</li><li>Aquatic therapy to manage chronic pain</li><li>Evaluation and treatment for a wide range of medical, orthopedic, psychosocial, and neurological conditions</li></ul>';VA Amarillo health care;VA Amarillo health care
Primary care at VA Amarillo health care;Primary care;'<H3>Care we provide at VA Amarillo health care</H3><p>A strong network of family and internal medicine specialists and services can offer you the best possible care. Internal medicine doctors (internists) prevent, diagnose, and treat adult diseases. Doctors who specialize in family medicine provide primary health care to the entire family. Your primary care team can coordinate the many services you receive such as:<p><ul><li>Labs and blood work</li><li>Mental health care</li><li>women''s health care</li><li>Radiology</li><li>Social services</li><li>Telehealth</li></ul>';VA Amarillo health care;VA Amarillo health care
Pulmonary medicine at VA Amarillo health care;Pulmonary medicine;<H3>Care we provide at VA Amarillo health care</H3><p>If you find it difficult to breathe or sleep, our pulmonary (lung) specialists can help. We offer education, exercises, and treatments like:<p><ul><li>Oxygen therapy to help you stay active and breathe better</li><li>Pulmonary rehabilitation to build your strength and increase lung capacity</li><li>Healthy diets to help you manage your weight and improve energy</li><li>Strategies to help you increase your feelings of control, optimism, and self-esteem</li><li>Tests to measure your lung function, lung volume, and blood gas</li></ul>;VA Amarillo health care;VA Amarillo health care
Radiology at VA Amarillo health care;Radiology;<H3>Care we provide at VA Amarillo health care</H3><p>We offer radiology and imaging services to diagnose and treat many medical conditions. Our services include:<p><ul><li>X-ray</li><li>Ultrasound</li><li>Mammography (mammograms)</li><li>Computer tomography (CT)</li><li>Positron emission tomography (PET)</li><li>Magnetic resonance imaging (MRI)</li></ul>;VA Amarillo health care;VA Amarillo health care
Recreation and creative arts therapy at VA Amarillo health care;Recreation and creative arts therapy;'<H3>Care we provide at VA Amarillo health care</H3><p>Our therapies promote your independence and enhance your health and well-being if you''re a Veteran with an injury, chronic (long-lasting) illness, or disabling condition. After your primary health care provider gives you a referral, a recreation therapist will develop treatment goals for you.<p><ul><li>Recreation and creative arts therapy provides services and activities that include:</li><li>Animal interaction</li><li>Music, art, and crafts</li><li>Community outings</li><li>Exercise, sports, and games</li><li>Gardening and leisure education</li></ul>';VA Amarillo health care;VA Amarillo health care
Rehabilitation and prosthetics at VA Amarillo health care;Rehabilitation and prosthetics;'<H3>Care we provide at VA Amarillo health care</H3><p>VA is the world''s largest and most comprehensive provider of sensory aides and prosthetic devices. Veterans enrolled in the VA health care system and referred by a physical medicine and rehabilitation physician can receive a full range of services and equipment like:<p><ul><li>Artificial limbs and surgical implants, including artificial joints and pacemakers</li><li>Wheelchairs and other medical devices</li><li>Aids for Veterans who are blind, have low vision, or are hearing impaired</li><li>Adaptive equipment and modifications to make your vehicle or home more accessible</li><li>Other devices and services to help increase your mobility, dignity, and independence</li><li>Clothing allowance for Veterans with devices that damage their clothing</li></ul>';VA Amarillo health care;VA Amarillo health care
Returning service member care at VA Amarillo health care;Returning service member care;'<H3>Care we provide at VA Amarillo health care</H3><p>We can help you readjust to civilian life if you''re returning from military service, on active duty, or an activated National Guard or Reserve member. Talk to one of our care coordinators about how to best use your health care benefits.<p><ul><li>Polytrauma care (if you have multiple traumatic injuries)</li><li>Counseling and rehabilitation</li><li>Mental and behavioral health services</li><li>Family benefits counseling and assistance</li><li>Referral assistance</li></ul><p>Learn more and connect with a coordinator';VA Amarillo health care;VA Amarillo health care
Rheumatology at VA Amarillo health care;Rheumatology;<H3>Care we provide at VA Amarillo health care</H3><p>Our doctors treat inflammation, stiffness, or pain in your muscles, joints, and tendons. Common rheumatic illnesses include:<p><ul><li>Juvenile idiopathic and infectious arthritis</li><li>Osteoarthritis and rheumatoid arthritis</li><li>Lupus, gout, and scleroderma</li></ul>;VA Amarillo health care;VA Amarillo health care
Smoking and tobacco cessation at VA Amarillo health care;Smoking and tobacco cessation;<H3>Care we provide at VA Amarillo health care</H3><p>You can quit smoking or chewing tobacco. Our goal is to provide support and strategies to add to optional nicotine replacement therapy prescribed by your primary care doctor. These include:<p><ul><li>FDA-approved medications to manage nicotine withdrawal and the urge to smoke.</li><li>Counseling in person or by phone</li><li>Tobacco Cessation Quitline for individual counseling and strategies</li><li>SmokefreeVET text message program for daily advice and interactive support</li><li>Stay Quit Coach mobile app to help you quit smoking and stay smoke-free</li></ul><p><a href="https://www.mentalhealth.va.gov/quit-tobacco/how-to-quit.asp">Learn more about how to quit</a>;VA Amarillo health care;VA Amarillo health care
Suicide prevention at VA Amarillo health care;Suicide prevention;<H3>Care we provide at VA Amarillo health care</H3><p>We work with behavioral health providers and community organizations to help you and your family during times of crisis. We offer:<p><ul><li>Suicide prevention care coordinators</li><li>Suicide prevention case managers</li><li>Gun safety locks</li><li></li></ul><p>Learn more and connect with a care coordinator;VA Amarillo health care;VA Amarillo health care
Telehealth at VA Amarillo health care;Telehealth;<H3>Care we provide at VA Amarillo health care</H3><p>We use the latest in secure digital technology to set up remote visits with our health care providers. We offer video conferencing, home telehealth services, and store-and-forward telehealth that lets you securely send your health information to experts at VA facilities. We offer telehealth visits with providers in:<p><ul><li>Mental health</li><li>Retinal care (eye)</li><li>Bariatric surgery (visit remotely with your weight-loss surgery team before and after your operation)</li><li>Dermatology</li><li>Rehabilitation</li><li>Primary care</li></ul><p><a href="https://www.telehealth.va.gov/">Learn more about telehealth</a>;VA Amarillo health care;VA Amarillo health care
Women Veteran care at VA Amarillo health care;Women Veteran care;'<H3>Care we provide at VA Amarillo health care</H3><p>Our women''s health program offers complete health care for women Veterans of all ages. Our primary care providers specialize in women''s health. They work closely with specialists in gynecology, obstetrics, female urology, oncology, medicine, radiology, surgery, and breast illness. Our services for women Veterans include:<p><ul><li>Ultrasounds, mammograms, Pap and HPV tests</li><li>Mental health care and counseling</li><li>Lifestyle wellness services</li><li>Menopause treatment, including hormonal therapy</li><li>Family planning, contraceptive care, and infertility evaluation</li></ul><p>Learn more and connect with a care coordinator';VA Amarillo health care;VA Amarillo health care
Urgent care at VA Amarillo health care;Urgent care;'<H3>Care we provide at VA Amarillo health care</H3><p>Our urgent care clinic offers walk-in health care when you need help right away, but don''t have an emergency. Urgent care doesn''t replace your primary care doctor, but it can help when your doctor''s office is closed and you need to see a health care professional immediately. We treat medical conditions like:<p><ul><li>Colds, flu, and strep throat</li><li>Sinus, ear, and eye infections</li><li>Minor injuries and muscle strains</li><li>Rashes and skin infections</li></ul><p><a href="https://www.va.gov/communitycare/programs/veterans/Urgent_Care.asp">Learn more about VA urgent care</a>';VA Amarillo health care;VA Amarillo health care
Blind and low vision rehabilitation at VA Amarillo health care;Blind and low vision rehabilitation;<H3>Care we provide at VA Amarillo health care</H3><p>Our low vision outpatient clinic can assess your needs and provide a rehab plan tailored to your personal goals. Our team of specialists and social workers will work with you to find the right aids and services. Our clinic services include:<p><ul><li>Comprehensive eye exams</li><li>Visual skills assessments</li><li>Guidance on how to develop visual motor and perceptual skills</li><li>Training to help you manage daily activities with your vision loss</li></ul>;VA Amarillo health care;VA Amarillo health care
Gynecology at VA Amarillo health care;Gynecology;<H3>Care we provide at VA Amarillo health care</H3><p>Our gynecologists focus on the female reproductive system and provide services that include:<p><ul><li>Mammograms for breast cancer, screenings for sexually transmitted disease, and Pap tests for cervical cancer</li><li>Counseling and treatment for contraception, pregnancy, and infertility</li><li>Osteoporosis screening for brittle bones</li><li>Exams for abnormal uterine bleeding, pelvic pain, or various cancers</li><li>Primary care checkups</li></ul>;VA Amarillo health care;VA Amarillo health care
Ophthalmology at VA Amarillo health care;Ophthalmology;<H3>Care we provide at VA Amarillo health care</H3><p>We offer comprehensive evaluation, diagnosis, and treatment for eye-related illnesses, injuries, and other issues. Our ophthalmology services include:<p><ul><li>Medical care for glaucoma, eye infections, and other conditions</li><li>Surgery for cataracts, traumatic eye injuries, and other problems</li><li>Treatment for eye conditions related to illnesses like diabetes or arthritis</li><li>Plastic surgery to repair droopy eyelids, clear blocked tear ducts, and perform eyelid and facial reconstruction (oculoplastics)</li></ul>;VA Amarillo health care;VA Amarillo health care
Optometry at VA Amarillo health care;Optometry;'<H3>Care we provide at VA Amarillo health care</H3><p>Our optometrists provide many eye-related services and treatments like:<p><ul><li>Vision services and eye exams</li><li>Treatment for diseases and injuries of the retina, cornea, and other parts of your eye</li><li>Low-vision services for conditions like macular degeneration that can''t be corrected by glasses, surgery, or medication</li><li>Special eye exams for diabetic patients</li></ul>';VA Amarillo health care;VA Amarillo health care
Podiatry at VA Amarillo health care;Podiatry;<H3>Care we provide at VA Amarillo health care</H3><p>After years of walking, running, marching, jumping, rappelling, and parachuting, many Veterans experience trouble with their feet and ankles. We can help treat those problems so you can continue to enjoy an active lifestyle. Our podiatry services include:<p><ul><li>Arthritis care for inflamed, swollen, or damaged joints</li><li>Foot and ankle fracture treatment, repair of cartilage, torn tendons and ligaments</li><li>Injections to reduce pain and swelling</li><li>Joint arthroplasty (surgical repair or reconstruction) and replacement</li><li>Minimally invasive surgery and post-surgical rehabilitation</li><li>Foot health maintenance procedures (bunion removal, resurfacing, and nail trimming)</li></ul>;VA Amarillo health care;VA Amarillo health care
Registry exams at VA Amarillo health care;Registry exams;'<H3>Care we provide at VA Amarillo health care</H3><p>This free, voluntary, and comprehensive health exam involves an exposure and medical history, laboratory tests, and a physical exam. We will discuss your results in a face-to-face meeting and follow up with a letter. The registry evaluation, which does not verify exposure, is separate from VA''s disability compensation process. You may be eligible to participate in one or more of these health registries if you served during these time periods:<p><ul><li>Ionizing radiation (1940s to 1960s)</li><li>Agent Orange (1960s and 1970s)</li><li>Airborne hazards and open burn pit (1990s to present)</li><li>Gulf War (1990s to present)</li><li>Depleted uranium (DU) (1990s to present)</li><li>Toxic embedded fragments/shrapnel (2000s to present)</li></ul><p><a href="https://www.publichealth.va.gov/exposures/benefits/registry-evaluation.asp">Learn more about VA Health Registry</a>';VA Amarillo health care;VA Amarillo health care
Social work at VA Amarillo health care;Social work;<H3>Care we provide at VA Amarillo health care</H3><p>Social work is integral to health care. We can help you and your family manage stress-related problems due to injury or illness, and find VA community resources to meet your needs like:<p><ul><li>Home health services</li><li>Legal services</li><li>Transportation</li><li>Community living</li></ul>;VA Amarillo health care;VA Amarillo health care
Urology at VA Amarillo health care;Urology;<H3>Care we provide at VA Central Texas health care</H3><p>We evaluate, diagnose, and treat a wide range of urology diseases and conditions that include kidney stones, erectile dysfunction, urinary incontinence, prostate cancer, and more. We provide you with medical care, surgery, and minimally invasive procedures for health issues that affect:<p><ul><li>Kidneys</li><li>Bladder</li><li>Ureter and urethra</li><li>Male reproductive organs</li></ul>;VA Amarillo health care;VA Amarillo health care
Advice nurse at VA Central Texas health care;Advice nurse;'<H3>Care we provide at VA Central Texas health care</H3><p>The registered nurses on our Nurse Advice Line provide you and your family with helpful medical advice and free, confidential answers to many of your health care questions. Call anytime. We''re here 24 hours a day, 7 days a week. In addition, our nurses can:<p><ul><li>Help you manage many of your basic health care needs</li><li>Answer questions about your current medications or medical condition</li><li>Discuss your health care concerns and help you decide the best way to handle them</li><li>Offer improved access to VA services</li></ul>';VA Central Texas health care;VA Central Texas health care
Amputation care at VA Central Texas health care;Amputation care;'<H3>Care we provide at VA Central Texas health care</H3><p>If you''ve had a major limb removed, our specialists can create a health care plan to help you to live independently. Our support services include:<p><ul><li>Physical, occupational, and recreational therapy</li><li>Nutrition, wellness, and mental health counseling</li><li>Prosthetic support to help you choose your artificial limb and use it effectively</li><li>Limb loss education and training to help you with daily living, like coping techniques, mobility tips, driving skills, and scar care</li><li>Medical and surgical consultations with other specialties</li></ul><p><a href="https://www.rehab.va.gov/asoc/">Learn more about the VA amputation system of care</a>';VA Central Texas health care;VA Central Texas health care
Audiology and speech at VA Central Texas health care;Audiology and speech;<H3>Care we provide at VA Central Texas health care</H3><p>Our Audiology and Speech Pathology clinic provides diagnostic and rehabilitative services, VA compensation and pension examinations, and screening for employee hearing conservation. We offer a full range of audiology and speech pathology services like:<p><ul><li>Hearing and balance evaluations</li><li>Selection, management, and repair of hearing aids and assistive listening device assessments</li><li>Evaluation, programming, and management of cochlear implants and bone-anchored implants</li><li>Evaluation and treatment for auditory processing disorder</li><li>Services that help with speech, language, fluency, voice, cognitive communication, swallowing, stuttering, and laryngectomy (surgical removal of the larynx, which contains your vocal cords)</li></ul><p><a href="https://www.prosthetics.va.gov/psas/Hearing_Aids.asp">Learn more about VA hearing aids</a>;VA Central Texas health care;VA Central Texas health care
