'ID';'Health Services';'Full Upload';'Health System';'Owner'
'Whole health at VA Beckley health care';'Whole health';'<H3>Care we provide at VA Beckley health care</H3><p>Our whole health approach empowers and equips you to take charge of your health, well-being, and quality of life. Whole health goes beyond your illnesses, injuries, or disabilities, and focuses instead on your values, goals, and overall health. It includes self-care and complementary therapies along with conventional medical care. Our whole health program includes:<p><ul><li>Acupuncture to help you manage pain without drugs</li><li>Meditation and mindfulness training</li><li>Yoga, tai chi, and qi gong classes</li><li>Massage and manual therapy</li></ul><p><a href="https://www.va.gov/wholehealth/">Learn more about VA whole health</a>';'VA Beckley health care';'VA Beckley health care'
'Women Veteran care at VA Beckley health care';'Women Veteran care';'<H3>Care we provide at VA Beckley health care</H3><p>Our women''s health program offers complete health care for women Veterans of all ages. Our primary care providers specialize in women’s health. They work closely with specialists in gynecology, obstetrics, female urology, oncology, medicine, radiology, surgery, and breast illness. Our services for women Veterans include:<p><ul><li>Ultrasounds, mammograms, Pap and HPV tests</li><li>Mental health care and counseling</li><li>Lifestyle wellness services</li><li>Menopause treatment, including hormonal therapy</li><li>Family planning, contraceptive care, and infertility evaluation</li></ul><p>Learn more and connect with a care coordinator';'VA Beckley health care';'VA Beckley health care'
'Addiction and substance abuse care at VA Bedford health care';'Addiction and substance abuse care';'<H3>Care we provide at VA Bedford health care</H3><p>We help Veterans on their recovery journey through outpatient and inpatient services. Our residential facility helps Veterans deal with substance abuse, homelessness, mental health, and unemployment through its 24-hour therapeutic and educational programs like:<p><ul><li>Rehabilitation</li><li>Health maintenance</li><li>Community support</li></ul><a href="https://www.mentalhealth.va.gov/res-vatreatmentprograms.asp">Learn more about our VA treatment programs</a>';'VA Bedford health care';'VA Bedford health care'
'Blind and low vision rehabilitation at VA Bedford health care';'Blind and low vision rehabilitation';'<H3>Care we provide at VA Bedford health care</H3><p>Our low vision outpatient clinic can assess your needs and provide a rehab plan tailored to your personal goals. Our team of specialists and social workers will work with you to find the right aids and services. Our clinic services include:<p><ul><li>Comprehensive eye exams</li><li>Visual skills assessments</li><li>Guidance on how to develop visual motor and perceptual skills</li><li>Training to help you manage daily activities with your vision loss</li></ul>';'VA Bedford health care';'VA Bedford health care'
'Caregiver support at VA Bedford health care';'Caregiver support';'<H3>Care we provide at VA Bedford health care</H3><p>If you’re a caregiver for a Veteran, you can get support by contacting one of our caregiver support coordinators. If the Veteran you care for was injured post-9/11, you may be eligible for even more services, including a stipend to help with expenses, training, and medical coverage if you aren’t already covered. For all caregivers, we can:<p><ul><li>Help you get caregiver assistance available through VA</li><li>Provide progressive needs planning to help you manage degenerative conditions</li><li>Match you with services and benefits</li><li>Connect you with local resources and programs</li><li>Listen to you when you struggle</li></ul><p>Learn more and connect with a support coordinator';'VA Bedford health care';'VA Bedford health care'
'Extended care and rehabilitation at VA Bedford health care';'Extended care and rehabilitation';'<H3>Care we provide at VA Bedford health care</H3><p>We provide long-term care to help you and your family when you’re dealing with a disability, chronic (long-lasting) illness, terminal illness, or serious health issues related to aging. Our long-term health care services include:<p><ul><li>24/7 nursing and medical care</li><li>Physical therapy</li><li>Help with daily tasks like bathing, dressing, making meals, and taking medicine</li><li>Pain management and palliative care to relieve suffering and improve quality of life for people with serious illnesses</li><li>Hospice care to provide comfort and compassionate care for people in the last phases of an incurable illness</li><li>To learn more about the different types of extended care that VA provides, see our guide to long-term services and support.</li></ul><p><a href="https://www.va.gov/GERIATRICS/">Learn more about VA long-term care</a>';'VA Bedford health care';'VA Bedford health care'
'Geriatrics at VA Bedford health care';'Geriatrics';'<H3>Care we provide at VA Bedford health care</H3><p>We assess your situation and condition to decide which outpatient geriatric services are right for you or a senior Veteran in your care, and then we coordinate your care. Our team of specialists provides geriatric services that include:<p><ul><li>Medicine and nursing</li><li>Psychology, psychiatry, and social work</li><li>Physical and occupational therapy</li></ul><p><a href="https://www.va.gov/GERIATRICS/">Learn more about VA long-term care</a>';'VA Bedford health care';'VA Bedford health care'
'Homeless Veteran care at VA Bedford health care';'Homeless Veteran care';'<H3>Care we provide at VA Bedford health care</H3><p>We help Veterans who are homeless or at risk of becoming homeless due to financial hardship, unemployment, addiction, depression, or transition from jail. Contact one of our care coordinators to get help with:<p><ul><li>Immediate food and shelter needs, including both transitional and permanent housing</li><li>Job training, life skills development, and education</li><li>Justice system navigation and community reentry from jail</li><li>Financial support to prevent homelessness</li><li>Addiction and depression treatment</li><li>Health and dental care</li></ul><p>Learn more and connect with a care coordinator';'VA Bedford health care';'VA Bedford health care'
'Intimate partner violence support at VA Bedford health care';'Intimate partner violence support';'<H3>Care we provide at VA Bedford health care</H3><p>Intimate partner violence (IPV) is when a current or former intimate partner (like a boyfriend, girlfriend, or spouse) stalks, harms, or threatens to harm their partner. Intimate partner violence can be emotional, physical, or sexual. It can also lead to short-term and long-term health problems, and a wide range of mental health issues. If you or someone you know is in a potentially abusive or violent relationship, we can help. We offer:<p><ul><li>Intimate partner violence care coordinators</li><li>Links to community-based support groups, and advocacy and legal services</li><li>Referrals to and coordination with other VA treatment providers</li><li>Connection to domestic violence shelters</li><li>Services for Veterans who are homeless</li><li>Interventions for Veterans who use violence in their intimate relationships</li></ul><p><a href="https://www.womenshealth.va.gov/womenshealth/outreachmaterials/abuseandviolence/intimatepartnerviolence.asp">Learn more about intimate partner violence</a>';'VA Bedford health care';'VA Bedford health care'
'Laboratory and pathology at VA Bedford health care';'Laboratory and pathology';'<H3>Care we provide at VA Bedford health care</H3><p>Our laboratories provide a full range of clinical and diagnostic testing services. Our laboratory and pathology services include:<p><ul><li>Study of blood, urine, and other bodily fluids for illness management</li><li>Testing for infectious diseases</li><li>Cytopathology (study of unusual cells) and surgical pathology (study of tissue removed during surgery)</li><li>Autopsy services</li></ul>';'VA Bedford health care';'VA Bedford health care'
'LGBTQ+ Veteran care at VA Bedford health care';'LGBTQ+ Veteran care';'<H3>Care we provide at VA Bedford health care</H3><p>We promote the health, welfare, and dignity of lesbian, gay, bisexual, and transgender (LGBTQ+) Veterans and their families. We focus on ensuring a safe, welcoming, and affirmative environment when providing you with sensitive and high-quality health care services like:<p><ul><li>Hormone therapy</li><li>Substance use and alcohol treatment</li><li>Testing and treatment for HIV and sexually transmitted infections (STI)</li><li>Mental health care</li><li>Psychosocial assessments for gender-confirming surgeries and hormone therapy</li></ul><p>Learn more and connect with a care coordinator';'VA Bedford health care';'VA Bedford health care'
'Mental health care at VA Bedford health care';'Mental health care';'<H3>Care we provide at VA Bedford health care</H3><p>Our medical center and clinics provide consultation, evaluation, and treatment for a range of issues that may impact your mental health or emotional well-being. Our confidential outpatient services include individual and group therapy for:<p><ul><li>Psychiatric disorders such as schizophrenia, bipolar disorder, and depression</li><li>Marriage and relationship problems</li><li>Post-traumatic stress disorder (PTSD)</li><li>Anxiety, addictive behaviors, and personality disorders</li><li>Aggressive or self-harming behaviors</li></ul><p>Learn more and connect with a care coordinator';'VA Bedford health care';'VA Bedford health care'
'Military sexual trauma care at VA Bedford health care';'Military sexual trauma care';'<H3>Care we provide at VA Bedford health care</H3><p>We offer care for military sexual trauma in our mental (behavioral) health clinics. Military sexual trauma refers to sexual assault, sexual harassment, or other threatening, offensive, or unwanted sexual advances, activities, or remarks that you experienced in the military. Our goal is to help you improve your quality of life with strategies to manage emotions and memories related to your military sexual trauma. Our services include:<p><ul><li>Counseling</li><li>Psychiatric care</li><li>Walk-in care</li></ul><p><a href="/node/24">Learn more about military sexual trauma</a>';'VA Bedford health care';'VA Bedford health care'
'Minority Veteran care at VA Bedford health care';'Minority Veteran care';'<H3>Care we provide at VA Bedford health care</H3><p>If you’re a minority Veteran, we can help you get the services and benefits you need. Our Minority Veterans Program serves all Veterans who are Black American, Asian American, Hispanic American, and Native American (including American Indians, Alaska Natives, Native Hawaiians, and Pacific Island Americans). We work to:<p><ul><li>Help the medical center address minority Veterans’ needs</li><li>Meet minority Veterans’ needs in the local community</li><li>Identify barriers and create a more accessible environment for minority Veterans</li><li>Inform minority Veterans of VA benefits, services, and programs</li></ul><p>Learn more and connect with a care coordinator';'VA Bedford health care';'VA Bedford health care'
'MOVE! weight management at VA Bedford health care';'MOVE! weight management';'<H3>Care we provide at VA Bedford health care</H3><p>MOVE! is a weight-management program designed to help you live a longer, healthier life. With the help of your MOVE! care team, you can eat a healthier diet, get more exercise, reduce your health risks, and improve your quality of life. The MOVE! program offers:<p><ul><li>Weight-loss support groups to help you lose weight and keep it off</li><li>Healthy eating tips and cooking classes</li><li>Behavioral change strategies to help you live a healthier lifestyle</li></ul><p><a href="https://www.move.va.gov/">Learn more about MOVE!</a>';'VA Bedford health care';'VA Bedford health care'
'Palliative and hospice care at VA Bedford health care';'Palliative and hospice care';'<H3>Care we provide at VA Bedford health care</H3><p>Our palliative and hospice care services support you and your family as you cope with a life-threatening or terminal illness. Palliative care works to provide comfort, reduce suffering, and improve the quality of life for patients being treated for serious illnesses. Hospice care focuses on helping patients with terminal illnesses to manage the final stages of their lives. Our palliative and hospice care services include:<p><ul><li>Pain and symptom management</li><li>Emotional, spiritual, and psychosocial support for you and your family</li><li>Help with practical issues that include an advance directive (living will), health care power of attorney, funeral arrangements, and applying for VA death and burial benefits</li><li>Education to help you and your family make informed health care decisions and know what to expect as your health declines</li><li>Bereavement care to help surviving family members during the grieving process</li></ul>';'VA Bedford health care';'VA Bedford health care'
'Patient advocates at VA Bedford health care';'Patient advocates';'<H3>Care we provide at VA Bedford health care</H3><p>Our patient advocates work hard to make sure you receive the best possible care at our health care facilities. They can:<p><ul><li>Help you get answers or address concerns with your care team</li><li>Advocate for patient and family rights</li><li>Serve as advocates for minority Veterans, women Veterans, and Veterans with disabilities</li><li>Offer specialized help to former prisoners of war and Veterans transitioning from Operation Enduring Freedom (OEF), Operation Iraqi Freedom (OIF), and Operation New Dawn (OND)</li></ul><p>Learn more and connect with a patient advocate';'VA Bedford health care';'VA Bedford health care'
'Pharmacy at VA Bedford health care';'Pharmacy';'<H3>Care we provide at VA Bedford health care</H3><p>Our pharmacy provides you and other Veterans with convenient, efficient service to make it easy to get your medications and medical supplies. You can:<p><ul><li>Pick up new prescriptions in person</li><li>Refill prescriptions online and by phone or mail</li><li>Safely dispose of medicines</li></ul><p>Learn more about our pharmacy';'VA Bedford health care';'VA Bedford health care'
'Physical therapy, occupational therapy and kinesiotherapy at VA Bedford health care';'Physical therapy, occupational therapy and kinesiotherapy';'<H3>Care we provide at VA Bedford health care</H3><p>If you’re living with or recovering from an injury, illness, or chronic condition that limits your mobility and independence, we can help. Our physical, occupational, and movement therapists combine therapeutic exercise, counseling, education, and training to help you improve your health and quality of life. Our services include:<p><ul><li>Pain relief and joint mobilization</li><li>Movement and exercise therapies to improve your strength, endurance, balance, and coordination</li><li>Mobility assessment and training with wheelchairs, scooters, and walking devices</li><li>Life skills training and activities to help you maintain the highest level of independence and functionality</li><li>Aquatic therapy to manage chronic pain</li><li>Evaluation and treatment for a wide range of medical, orthopedic, psychosocial, and neurological conditions</li></ul>';'VA Bedford health care';'VA Bedford health care'
'Primary care at VA Bedford health care';'Primary care';'<H3>Care we provide at VA Bedford health care</H3><p>A strong network of family and internal medicine specialists and services can offer you the best possible care. Internal medicine doctors (internists) prevent, diagnose, and treat adult diseases. Doctors who specialize in family medicine provide primary health care to the entire family. Your primary care team can coordinate the many services you receive such as:<p><ul><li>Labs and blood work</li><li>Mental health care</li><li>Women''s health care</li><li>Radiology</li><li>Social services</li><li>Telehealth</li></ul>';'VA Bedford health care';'VA Bedford health care'
'Psychology at VA Bedford health care';'Psychology';'<H3>Care we provide at VA Bedford health care</H3><p>Our psychology teams offer consultation, evaluation, and treatment to help with a range of mental and behavioral health problems like:<p><ul><li>Depression (including sadness and grief), anxiety (including worry and nervousness), and personality disorders</li><li>Addictive behaviors and substance abuse</li><li>Post-traumatic stress disorder (PTSD) and combat-related stress disorder</li><li>Emotional issues like anger management and relationship challenges</li><li>Confused thinking, memory problems, and invasive thoughts or ideas</li><li>Aggressive or self-harming behaviors</li></ul>';'VA Bedford health care';'VA Bedford health care'
'Recreation and creative arts therapy at VA Bedford health care';'Recreation and creative arts therapy';'<H3>Care we provide at VA Bedford health care</H3><p>Our therapies promote your independence and enhance your health and well-being if you’re a Veteran with an injury, chronic (long-lasting) illness, or disabling condition. After your primary health care provider gives you a referral, a recreation therapist will develop treatment goals for you.<p><ul><li>Recreation and creative arts therapy provides services and activities that include:</li><li>Animal interaction</li><li>Music, art, and crafts</li><li>Community outings</li><li>Exercise, sports, and games</li><li>Gardening and leisure education</li></ul>';'VA Bedford health care';'VA Bedford health care'
'Registry exams at VA Bedford health care';'Registry exams';'<H3>Care we provide at VA Bedford health care</H3><p>This free, voluntary, and comprehensive health exam involves an exposure and medical history, laboratory tests, and a physical exam. We will discuss your results in a face-to-face meeting and follow up with a letter. The registry evaluation, which does not verify exposure, is separate from VA’s disability compensation process. You may be eligible to participate in one or more of these health registries if you served during these time periods:<p><ul><li>Ionizing radiation (1940s to 1960s)</li><li>Agent Orange (1960s and 1970s)</li><li>Airborne hazards and open burn pit (1990s to present)</li><li>Gulf War (1990s to present)</li><li>Depleted uranium (DU) (1990s to present)</li><li>Toxic embedded fragments/shrapnel (2000s to present)</li></ul><p><a href="https://www.publichealth.va.gov/exposures/benefits/registry-evaluation.asp">Learn more about VA Health Registry</a>';'VA Bedford health care';'VA Bedford health care'
'Returning service member care at VA Bedford health care';'Returning service member care';'<H3>Care we provide at VA Bedford health care</H3><p>We can help you readjust to civilian life if you’re returning from military service, on active duty, or an activated National Guard or Reserve member. Talk to one of our care coordinators about how to best use your health care benefits.<p><ul><li>Polytrauma care (if you have multiple traumatic injuries)</li><li>Counseling and rehabilitation</li><li>Mental and behavioral health services</li><li>Family benefits counseling and assistance</li><li>Referral assistance</li></ul><p>Learn more and connect with a coordinator';'VA Bedford health care';'VA Bedford health care'
'Smoking and tobacco cessation at VA Bedford health care';'Smoking and tobacco cessation';'<H3>Care we provide at VA Bedford health care</H3><p>You can quit smoking or chewing tobacco. Our goal is to provide support and strategies to add to optional nicotine replacement therapy prescribed by your primary care doctor. These include:<p><ul><li>FDA-approved medications to manage nicotine withdrawal and the urge to smoke.</li><li>Counseling in person or by phone</li><li>Tobacco Cessation Quitline for individual counseling and strategies</li><li>SmokefreeVET text message program for daily advice and interactive support</li><li>Stay Quit Coach mobile app to help you quit smoking and stay smoke-free</li></ul><p><a href="https://www.mentalhealth.va.gov/quit-tobacco/how-to-quit.asp">Learn more about how to quit</a>';'VA Bedford health care';'VA Bedford health care'
