Id ;Facility Name;VAMC System Health Service;Facility description of services;Owner
vha_674 - Chiropractic;'Olin E. Teague Veterans'' Center';Chiropractic at VA Central Texas health care;;VA Central Texas health care
vha_674 - Dental/oral surgery;'Olin E. Teague Veterans'' Center';Dental/oral surgery at VA Central Texas health care;;VA Central Texas health care
vha_674 - Dermatology;'Olin E. Teague Veterans'' Center';Dermatology at VA Central Texas health care;;VA Central Texas health care
vha_674 - Endocrinology;'Olin E. Teague Veterans'' Center';Endocrinology at VA Central Texas health care;;VA Central Texas health care
vha_674 - Extended care and rehabilitation;'Olin E. Teague Veterans'' Center';Extended care and rehabilitation at VA Central Texas health care;;VA Central Texas health care
vha_674 - Gastroenterology;'Olin E. Teague Veterans'' Center';Gastroenterology at VA Central Texas health care;;VA Central Texas health care
vha_674 - Geriatrics;'Olin E. Teague Veterans'' Center';Geriatrics at VA Central Texas health care;;VA Central Texas health care
vha_674 - Hematology/oncology;'Olin E. Teague Veterans'' Center';Hematology/oncology at VA Central Texas health care;;VA Central Texas health care
vha_674 - Homeless Veteran care;'Olin E. Teague Veterans'' Center';Homeless Veteran care at VA Central Texas health care;;VA Central Texas health care
vha_674 - Infectious disease;'Olin E. Teague Veterans'' Center';Infectious disease at VA Central Texas health care;;VA Central Texas health care
vha_674 - Laboratory and pathology;'Olin E. Teague Veterans'' Center';Laboratory and pathology at VA Central Texas health care;;VA Central Texas health care
vha_674 - LGBT Veteran care;'Olin E. Teague Veterans'' Center';LGBT Veteran care at VA Central Texas health care;;VA Central Texas health care
vha_674 - Blind and low vision rehabilitation;'Olin E. Teague Veterans'' Center';Blind and low vision rehabilitation at VA Central Texas health care;;VA Central Texas health care
vha_674 - Mental health care;'Olin E. Teague Veterans'' Center';Mental health care at VA Central Texas health care;;VA Central Texas health care
vha_674 - Minority Veteran care;'Olin E. Teague Veterans'' Center';Minority Veteran care at VA Central Texas health care;;VA Central Texas health care
vha_674 - MOVE! weight management;'Olin E. Teague Veterans'' Center';MOVE! weight management at VA Central Texas health care;;VA Central Texas health care
vha_674 - My HealtheVet coordinator;'Olin E. Teague Veterans'' Center';My HealtheVet coordinator at VA Central Texas health care;;VA Central Texas health care
vha_674 - Nephrology;'Olin E. Teague Veterans'' Center';Nephrology at VA Central Texas health care;;VA Central Texas health care
vha_674 - Neurology;'Olin E. Teague Veterans'' Center';Neurology at VA Central Texas health care;;VA Central Texas health care
vha_674 - Nutrition, food, and dietary care;'Olin E. Teague Veterans'' Center';Nutrition, food, and dietary care at VA Central Texas health care;;VA Central Texas health care
vha_674 - Orthopedics;'Olin E. Teague Veterans'' Center';Orthopedics at VA Central Texas health care;;VA Central Texas health care
vha_674 - Patient advocates;'Olin E. Teague Veterans'' Center';Patient advocates at VA Central Texas health care;;VA Central Texas health care
vha_674 - Pharmacy;'Olin E. Teague Veterans'' Center';Pharmacy at VA Central Texas health care;;VA Central Texas health care
vha_674 - Physical medicine and rehabilitation;'Olin E. Teague Veterans'' Center';Physical medicine and rehabilitation at VA Central Texas health care;;VA Central Texas health care
vha_674 - Physical therapy, occupational therapy and kinesiotherapy;'Olin E. Teague Veterans'' Center';Physical therapy, occupational therapy and kinesiotherapy at VA Central Texas health care;;VA Central Texas health care
vha_674 - Primary care;'Olin E. Teague Veterans'' Center';Primary care at VA Central Texas health care;;VA Central Texas health care
vha_674 - Psychology;'Olin E. Teague Veterans'' Center';Psychology at VA Central Texas health care;;VA Central Texas health care
vha_674 - PTSD care;'Olin E. Teague Veterans'' Center';PTSD care at VA Central Texas health care;;VA Central Texas health care
vha_674 - Pulmonary medicine;'Olin E. Teague Veterans'' Center';Pulmonary medicine at VA Central Texas health care;;VA Central Texas health care
vha_674 - Recreation and creative arts therapy;'Olin E. Teague Veterans'' Center';Recreation and creative arts therapy at VA Central Texas health care;;VA Central Texas health care
vha_674 - Rehabilitation and prosthetics;'Olin E. Teague Veterans'' Center';Rehabilitation and prosthetics at VA Central Texas health care;;VA Central Texas health care
vha_674 - Returning service member care;'Olin E. Teague Veterans'' Center';Returning service member care at VA Central Texas health care;;VA Central Texas health care
vha_674 - Rheumatology;'Olin E. Teague Veterans'' Center';Rheumatology at VA Central Texas health care;;VA Central Texas health care
vha_674 - Social work;'Olin E. Teague Veterans'' Center';Social work at VA Central Texas health care;;VA Central Texas health care
vha_674 - Spinal cord injury and disorders;'Olin E. Teague Veterans'' Center';Spinal cord injury and disorders at VA Central Texas health care;;VA Central Texas health care
vha_674 - Suicide prevention;'Olin E. Teague Veterans'' Center';Suicide prevention at VA Central Texas health care;;VA Central Texas health care
vha_674 - Telehealth;'Olin E. Teague Veterans'' Center';Telehealth at VA Central Texas health care;;VA Central Texas health care
vha_674 - Women Veteran care;'Olin E. Teague Veterans'' Center';Women Veteran care at VA Central Texas health care;;VA Central Texas health care
vha_674A4 - Mental health care;Doris Miller Department of Veterans Affairs Medical Center;Mental health care at VA Central Texas health care;;VA Central Texas health care
vha_674A4 - Laboratory and pathology;Doris Miller Department of Veterans Affairs Medical Center;Laboratory and pathology at VA Central Texas health care;;VA Central Texas health care
vha_674A4 - My HealtheVet coordinator;Doris Miller Department of Veterans Affairs Medical Center;My HealtheVet coordinator at VA Central Texas health care;;VA Central Texas health care
vha_674A4 - Pharmacy;Doris Miller Department of Veterans Affairs Medical Center;Pharmacy at VA Central Texas health care;;VA Central Texas health care
vha_674A4 - Primary care;Doris Miller Department of Veterans Affairs Medical Center;Primary care at VA Central Texas health care;;VA Central Texas health care
vha_674A4 - Smoking and tobacco cessation;Doris Miller Department of Veterans Affairs Medical Center;Smoking and tobacco cessation at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Audiology and speech;Austin VA Clinic;Audiology and speech at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Amputation care;Austin VA Clinic;Amputation care at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Chiropractic;Austin VA Clinic;Chiropractic at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Dental/oral surgery;Austin VA Clinic;Dental/oral surgery at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Hematology/oncology;Austin VA Clinic;Hematology/oncology at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Homeless Veteran care;Austin VA Clinic;Homeless Veteran care at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Mental health care;Austin VA Clinic;Mental health care at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Optometry;Austin VA Clinic;Optometry at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Otolaryngology;Austin VA Clinic;Otolaryngology at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Pain management;Austin VA Clinic;Pain management at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Patient advocates;Austin VA Clinic;Patient advocates at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Physical medicine and rehabilitation;Austin VA Clinic;Physical medicine and rehabilitation at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Physical therapy, occupational therapy and kinesiotherapy;Austin VA Clinic;Physical therapy, occupational therapy and kinesiotherapy at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Podiatry;Austin VA Clinic;Podiatry at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Primary care;Austin VA Clinic;Primary care at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Radiology;Austin VA Clinic;Radiology at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Recreation and creative arts therapy;Austin VA Clinic;Recreation and creative arts therapy at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Rehabilitation and prosthetics;Austin VA Clinic;Rehabilitation and prosthetics at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Returning service member care;Austin VA Clinic;Returning service member care at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Social work;Austin VA Clinic;Social work at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Suicide prevention;Austin VA Clinic;Suicide prevention at VA Central Texas health care;;VA Central Texas health care
vha_674BY - Women Veteran care;Austin VA Clinic;Women Veteran care at VA Central Texas health care;;VA Central Texas health care
vha_674GB - Mental health care;Brownwood VA Clinic;Mental health care at VA Central Texas health care;;VA Central Texas health care
vha_674GB - Extended care and rehabilitation;Brownwood VA Clinic;Extended care and rehabilitation at VA Central Texas health care;;VA Central Texas health care
vha_674GB - Laboratory and pathology;Brownwood VA Clinic;Laboratory and pathology at VA Central Texas health care;;VA Central Texas health care
vha_674GB - My HealtheVet coordinator;Brownwood VA Clinic;My HealtheVet coordinator at VA Central Texas health care;;VA Central Texas health care
vha_674GB - Pharmacy;Brownwood VA Clinic;Pharmacy at VA Central Texas health care;;VA Central Texas health care
vha_674GB - Primary care;Brownwood VA Clinic;Primary care at VA Central Texas health care;;VA Central Texas health care
vha_674GB - Radiology;Brownwood VA Clinic;Radiology at VA Central Texas health care;;VA Central Texas health care
vha_674GB - Telehealth;Brownwood VA Clinic;Telehealth at VA Central Texas health care;;VA Central Texas health care
vha_674GB - Women Veteran care;Brownwood VA Clinic;Women Veteran care at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Diabetic care;Bryan VA Clinic;Diabetic care at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Laboratory and pathology;Bryan VA Clinic;Laboratory and pathology at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Mental health care;Bryan VA Clinic;Mental health care at VA Central Texas health care;;VA Central Texas health care
vha_674GC - MOVE! weight management;Bryan VA Clinic;MOVE! weight management at VA Central Texas health care;;VA Central Texas health care
vha_674GC - My HealtheVet coordinator;Bryan VA Clinic;My HealtheVet coordinator at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Nutrition, food, and dietary care;Bryan VA Clinic;Nutrition, food, and dietary care at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Pharmacy;Bryan VA Clinic;Pharmacy at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Primary care;Bryan VA Clinic;Primary care at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Radiology;Bryan VA Clinic;Radiology at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Smoking and tobacco cessation;Bryan VA Clinic;Smoking and tobacco cessation at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Social work;Bryan VA Clinic;Social work at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Telehealth;Bryan VA Clinic;Telehealth at VA Central Texas health care;;VA Central Texas health care
vha_674GC - Women Veteran care;Bryan VA Clinic;Women Veteran care at VA Central Texas health care;;VA Central Texas health care
vha_674GD - Laboratory and pathology;Cedar Park VA Clinic;Laboratory and pathology at VA Central Texas health care;;VA Central Texas health care
vha_674GD - Mental health care;Cedar Park VA Clinic;Mental health care at VA Central Texas health care;;VA Central Texas health care
vha_674GD - My HealtheVet coordinator;Cedar Park VA Clinic;My HealtheVet coordinator at VA Central Texas health care;;VA Central Texas health care
vha_674GD - Nutrition, food, and dietary care;Cedar Park VA Clinic;Nutrition, food, and dietary care at VA Central Texas health care;;VA Central Texas health care
vha_674GD - Pharmacy;Cedar Park VA Clinic;Pharmacy at VA Central Texas health care;;VA Central Texas health care
vha_674GD - Primary care;Cedar Park VA Clinic;Primary care at VA Central Texas health care;;VA Central Texas health care
vha_674GD - Radiology;Cedar Park VA Clinic;Radiology at VA Central Texas health care;;VA Central Texas health care
vha_674GD - Smoking and tobacco cessation;Cedar Park VA Clinic;Smoking and tobacco cessation at VA Central Texas health care;;VA Central Texas health care
vha_674GD - Women Veteran care;Cedar Park VA Clinic;Women Veteran care at VA Central Texas health care;;VA Central Texas health care
vha_674HB - Laboratory and pathology;LaGrange VA Clinic;Laboratory and pathology at VA Central Texas health care;;VA Central Texas health care
vha_674HB - My HealtheVet coordinator;LaGrange VA Clinic;My HealtheVet coordinator at VA Central Texas health care;;VA Central Texas health care
vha_674HB - Pharmacy;LaGrange VA Clinic;Pharmacy at VA Central Texas health care;;VA Central Texas health care
vha_674HB - Primary care;LaGrange VA Clinic;Primary care at VA Central Texas health care;;VA Central Texas health care
vha_674HB - Radiology;LaGrange VA Clinic;Radiology at VA Central Texas health care;;VA Central Texas health care
vha_674HB - Telehealth;LaGrange VA Clinic;Telehealth at VA Central Texas health care;;VA Central Texas health care
vha_674GA - Laboratory and pathology;Palestine VA Clinic;Laboratory and pathology at VA Central Texas health care;;VA Central Texas health care
vha_674GA - Mental health care;Palestine VA Clinic;Mental health care at VA Central Texas health care;;VA Central Texas health care
vha_674GA - My HealtheVet coordinator;Palestine VA Clinic;My HealtheVet coordinator at VA Central Texas health care;;VA Central Texas health care
vha_674GA - Pharmacy;Palestine VA Clinic;Pharmacy at VA Central Texas health care;;VA Central Texas health care
vha_674GA - Primary care;Palestine VA Clinic;Primary care at VA Central Texas health care;;VA Central Texas health care
vha_674GA - Smoking and tobacco cessation;Palestine VA Clinic;Smoking and tobacco cessation at VA Central Texas health care;;VA Central Texas health care
vha_674GF - Primary care;Temple VA Clinic;Primary care at VA Central Texas health care;;VA Central Texas health care
vha_674GF - My HealtheVet coordinator;Temple VA Clinic;My HealtheVet coordinator at VA Central Texas health care;;VA Central Texas health care
vha_756 - Caregiver support;El Paso VA Clinic;Caregiver support at VA El Paso health care;;VA El Paso health care
vha_756 - Homeless Veteran care;El Paso VA Clinic;Homeless Veteran care at VA El Paso health care;;VA El Paso health care
vha_756 - LGBT Veteran care;El Paso VA Clinic;LGBT Veteran care at VA El Paso health care;;VA El Paso health care
vha_756 - Mental health care;El Paso VA Clinic;Mental health care at VA El Paso health care;;VA El Paso health care
vha_756 - Military sexual trauma care;El Paso VA Clinic;Military sexual trauma care at VA El Paso health care;;VA El Paso health care
vha_756 - Minority Veteran care;El Paso VA Clinic;Minority Veteran care at VA El Paso health care;;VA El Paso health care
vha_756 - My HealtheVet coordinator;El Paso VA Clinic;My HealtheVet coordinator at VA El Paso health care;;VA El Paso health care
vha_756 - Patient advocates;El Paso VA Clinic;Patient advocates at VA El Paso health care;;VA El Paso health care
vha_756 - Pharmacy;El Paso VA Clinic;Pharmacy at VA El Paso health care;;VA El Paso health care
vha_756 - Registry exams;El Paso VA Clinic;Registry exams at VA El Paso health care;;VA El Paso health care
vha_756 - Returning service member care;El Paso VA Clinic;Returning service member care at VA El Paso health care;;VA El Paso health care
vha_756 - Suicide prevention;El Paso VA Clinic;Suicide prevention at VA El Paso health care;;VA El Paso health care
vha_756 - Travel reimbursement;El Paso VA Clinic;Travel reimbursement at VA El Paso health care;;VA El Paso health care
vha_756 - Women Veteran care;El Paso VA Clinic;Women Veteran care at VA El Paso health care;;VA El Paso health care
vha_756QB - Sleep medicine;El Paso Central VA Clinic;Sleep medicine at VA El Paso health care;;VA El Paso health care
vha_756GB - Extended care and rehabilitation;El Paso Eastside VA Clinic;Extended care and rehabilitation at VA El Paso health care;;VA El Paso health care
vha_756GB - Mental health care;El Paso Eastside VA Clinic;Mental health care at VA El Paso health care;;VA El Paso health care
vha_756GB - Primary care;El Paso Eastside VA Clinic;Primary care at VA El Paso health care;;VA El Paso health care
vha_756QA - Primary care;El Paso South Central VA Clinic;Primary care at VA El Paso health care;;VA El Paso health care
vha_756GA - Extended care and rehabilitation;Las Cruces VA Clinic;Extended care and rehabilitation at VA El Paso health care;;VA El Paso health care
vha_756GA - Mental health care;Las Cruces VA Clinic;Mental health care at VA El Paso health care;;VA El Paso health care
vha_756GA - Primary care;Las Cruces VA Clinic;Primary care at VA El Paso health care;;VA El Paso health care
vha_756GC - Extended care and rehabilitation;El Paso Westside VA Clinic;Extended care and rehabilitation at VA El Paso health care;;VA El Paso health care
vha_756GD - Primary care;El Paso Northeast VA Clinic;Primary care at VA El Paso health care;;VA El Paso health care
vha_549 - Anesthesia;Dallas VA Medical Center;Anesthesia at VA North Texas health care;;VA North Texas health care
vha_549 - Cardiology;Dallas VA Medical Center;Cardiology at VA North Texas health care;;VA North Texas health care
vha_549 - Caregiver support;Dallas VA Medical Center;Caregiver support at VA North Texas health care;;VA North Texas health care
vha_549 - Dental/oral surgery;Dallas VA Medical Center;Dental/oral surgery at VA North Texas health care;;VA North Texas health care
vha_549 - Gastroenterology;Dallas VA Medical Center;Gastroenterology at VA North Texas health care;;VA North Texas health care
vha_549 - Geriatrics;Dallas VA Medical Center;Geriatrics at VA North Texas health care;;VA North Texas health care
vha_549 - HIV/hepatitis care;Dallas VA Medical Center;HIV/hepatitis care at VA North Texas health care;;VA North Texas health care
vha_549 - Homeless Veteran care;Dallas VA Medical Center;Homeless Veteran care at VA North Texas health care;;VA North Texas health care
vha_549 - Laboratory and pathology;Dallas VA Medical Center;Laboratory and pathology at VA North Texas health care;;VA North Texas health care
vha_549 - LGBT Veteran care;Dallas VA Medical Center;LGBT Veteran care at VA North Texas health care;;VA North Texas health care
vha_549 - Blind and low vision rehabilitation;Dallas VA Medical Center;Blind and low vision rehabilitation at VA North Texas health care;;VA North Texas health care
vha_549 - Mental health care;Dallas VA Medical Center;Mental health care at VA North Texas health care;;VA North Texas health care
vha_549 - Minority Veteran care;Dallas VA Medical Center;Minority Veteran care at VA North Texas health care;;VA North Texas health care
vha_549 - MOVE! weight management;Dallas VA Medical Center;MOVE! weight management at VA North Texas health care;;VA North Texas health care
vha_549 - Nutrition, food, and dietary care;Dallas VA Medical Center;Nutrition, food, and dietary care at VA North Texas health care;;VA North Texas health care
vha_549 - Pain management;Dallas VA Medical Center;Pain management at VA North Texas health care;;VA North Texas health care
vha_549 - Palliative and hospice care;Dallas VA Medical Center;Palliative and hospice care at VA North Texas health care;;VA North Texas health care
vha_549 - Patient advocates;Dallas VA Medical Center;Patient advocates at VA North Texas health care;;VA North Texas health care
vha_549 - Pharmacy;Dallas VA Medical Center;Pharmacy at VA North Texas health care;;VA North Texas health care
vha_549 - Physical medicine and rehabilitation;Dallas VA Medical Center;Physical medicine and rehabilitation at VA North Texas health care;;VA North Texas health care
vha_549 - Primary care;Dallas VA Medical Center;Primary care at VA North Texas health care;;VA North Texas health care
vha_549 - Radiology;Dallas VA Medical Center;Radiology at VA North Texas health care;;VA North Texas health care
vha_549 - Recreation and creative arts therapy;Dallas VA Medical Center;Recreation and creative arts therapy at VA North Texas health care;;VA North Texas health care
vha_549 - Returning service member care;Dallas VA Medical Center;Returning service member care at VA North Texas health care;;VA North Texas health care
vha_549 - Social work;Dallas VA Medical Center;Social work at VA North Texas health care;;VA North Texas health care
vha_549 - Spinal cord injury and disorders;Dallas VA Medical Center;Spinal cord injury and disorders at VA North Texas health care;;VA North Texas health care
vha_549 - Suicide prevention;Dallas VA Medical Center;Suicide prevention at VA North Texas health care;;VA North Texas health care
vha_549 - Telehealth;Dallas VA Medical Center;Telehealth at VA North Texas health care;;VA North Texas health care
vha_549 - Travel reimbursement;Dallas VA Medical Center;Travel reimbursement at VA North Texas health care;;VA North Texas health care
vha_549 - Women Veteran care;Dallas VA Medical Center;Women Veteran care at VA North Texas health care;;VA North Texas health care
vha_549A5 - Laboratory and pathology;Garland VA Medical Center;Laboratory and pathology at VA North Texas health care;;VA North Texas health care
vha_549A5 - My HealtheVet coordinator;Garland VA Medical Center;My HealtheVet coordinator at VA North Texas health care;;VA North Texas health care
vha_549A5 - Nutrition, food, and dietary care;Garland VA Medical Center;Nutrition, food, and dietary care at VA North Texas health care;;VA North Texas health care
vha_549A5 - Primary care;Garland VA Medical Center;Primary care at VA North Texas health care;;VA North Texas health care
vha_549A5 - Social work;Garland VA Medical Center;Social work at VA North Texas health care;;VA North Texas health care
vha_549A5 - Women Veteran care;Garland VA Medical Center;Women Veteran care at VA North Texas health care;;VA North Texas health care
vha_549A4 - Extended care and rehabilitation;Sam Rayburn Memorial Veterans Center;Extended care and rehabilitation at VA North Texas health care;;VA North Texas health care
