'ID';'Facility Name';'VACM System Health Service';'Facility description of services';'Owner'
'vha_402GE ';'Lewiston VA Clinic';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_402GE ';'Lewiston VA Clinic';'Radiology at VA Maine health care';;'VA Maine health care'
'vha_402GE ';'Lewiston VA Clinic';'Telehealth at VA Maine health care';;'VA Maine health care'
'vha_402GF ';'Lincoln VA Clinic';'Laboratory and pathology at VA Maine health care';;'VA Maine health care'
'vha_402GF ';'Lincoln VA Clinic';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_402GF ';'Lincoln VA Clinic';'Telehealth at VA Maine health care';;'VA Maine health care'
'vha_402HB ';'Bangor VA Clinic';'Audiology and speech at VA Maine health care';;'VA Maine health care'
'vha_402HB ';'Bangor VA Clinic';'Cardiology at VA Maine health care';;'VA Maine health care'
'vha_402HB ';'Bangor VA Clinic';'Dental/oral surgery at VA Maine health care';;'VA Maine health care'
'vha_402HB ';'Bangor VA Clinic';'Laboratory and pathology at VA Maine health care';;'VA Maine health care'
'vha_402HB ';'Bangor VA Clinic';'Mental health care at VA Maine health care';;'VA Maine health care'
'vha_402HB ';'Bangor VA Clinic';'Optometry at VA Maine health care';;'VA Maine health care'
'vha_402HB ';'Bangor VA Clinic';'Pharmacy at VA Maine health care';;'VA Maine health care'
'vha_402HB ';'Bangor VA Clinic';'Physical therapy, occupational therapy and kinesiotherapy at VA Maine health care';;'VA Maine health care'
'vha_402HB ';'Bangor VA Clinic';'Radiology at VA Maine health care';;'VA Maine health care'
'vha_402HB ';'Bangor VA Clinic';'Telehealth at VA Maine health care';;'VA Maine health care'
'vha_402HC ';'Portland VA Clinic';'Cardiology at VA Maine health care';;'VA Maine health care'
'vha_402HC ';'Portland VA Clinic';'Endocrinology at VA Maine health care';;'VA Maine health care'
'vha_402HC ';'Portland VA Clinic';'Laboratory and pathology at VA Maine health care';;'VA Maine health care'
'vha_402HC ';'Portland VA Clinic';'Mental health care at VA Maine health care';;'VA Maine health care'
'vha_402HC ';'Portland VA Clinic';'Nephrology at VA Maine health care';;'VA Maine health care'
'vha_402HC ';'Portland VA Clinic';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_402HC ';'Portland VA Clinic';'Pulmonary medicine at VA Maine health care';;'VA Maine health care'
'vha_402HC ';'Portland VA Clinic';'Rheumatology at VA Maine health care';;'VA Maine health care'
'vha_402HC ';'Portland VA Clinic';'Telehealth at VA Maine health care';;'VA Maine health care'
'vha_402HL ';'Bingham VA Mobile Clinic';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_402QA ';'Fort Kent VA Clinic';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_402QB ';'Houlton VA Clinic';'Laboratory and pathology at VA Maine health care';;'VA Maine health care'
'vha_402QB ';'Houlton VA Clinic';'Primary care at VA Maine health care';;'VA Maine health care'
'vha_405 ';'White River Junction VA Medical Center';'Advice nurse at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Audiology and speech at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Caregiver support at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Extended care and rehabilitation at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Geriatrics at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Homeless Veteran care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Laboratory and pathology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'LGBTQ+ Veteran care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Mental health care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Minority Veteran care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Nutrition, food, and dietary care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Otolaryngology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Patient advocates at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Pharmacy at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Returning service member care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Suicide prevention at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Telehealth at VA White River Junction health care';;'VA White River Junction health care'
'vha_405 ';'White River Junction VA Medical Center';'Women Veteran care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GA ';'Benningon VA Clinic';'Cardiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GA ';'Benningon VA Clinic';'Laboratory and pathology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GA ';'Benningon VA Clinic';'Mental health care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GA ';'Benningon VA Clinic';'Pharmacy at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GA ';'Benningon VA Clinic';'Primary care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GA ';'Benningon VA Clinic';'Radiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GC ';'Brattleboro VA Clinic';'Cardiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GC ';'Brattleboro VA Clinic';'Laboratory and pathology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GC ';'Brattleboro VA Clinic';'Mental health care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GC ';'Brattleboro VA Clinic';'Pharmacy at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GC ';'Brattleboro VA Clinic';'Primary care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GC ';'Brattleboro VA Clinic';'Radiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405GC ';'Brattleboro VA Clinic';'Telehealth at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Audiology and speech at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Cardiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Dermatology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Laboratory and pathology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Mental health care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Nutrition, food, and dietary care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Ophthalmology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Pharmacy at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Physical therapy, occupational therapy and kinesiotherapy at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Primary care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Radiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Sleep medicine at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Social work at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Telehealth at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Vocational rehabilitation and employment programs at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HA ';'Burlington Lakeside VA Clinic';'Women Veteran care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HC ';'Littleton VA Clinic';'Cardiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HC ';'Littleton VA Clinic';'Gynecology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HC ';'Littleton VA Clinic';'Laboratory and pathology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HC ';'Littleton VA Clinic';'Pharmacy at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HC ';'Littleton VA Clinic';'Physical therapy, occupational therapy and kinesiotherapy at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HC ';'Littleton VA Clinic';'Primary care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HC ';'Littleton VA Clinic';'Radiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HC ';'Littleton VA Clinic';'Telehealth at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HE ';'Keene VA Clinic';'Cardiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HE ';'Keene VA Clinic';'Dermatology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HE ';'Keene VA Clinic';'Laboratory and pathology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HE ';'Keene VA Clinic';'Mental health care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HE ';'Keene VA Clinic';'Pharmacy at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HE ';'Keene VA Clinic';'Primary care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HE ';'Keene VA Clinic';'Radiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HE ';'Keene VA Clinic';'Women Veteran care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HF ';'Rutland VA Clinic';'Cardiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HF ';'Rutland VA Clinic';'Gynecology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HF ';'Rutland VA Clinic';'Laboratory and pathology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HF ';'Rutland VA Clinic';'Pharmacy at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HF ';'Rutland VA Clinic';'Primary care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405HF ';'Rutland VA Clinic';'Radiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405QB ';'Newport VA Clinic';'Cardiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405QB ';'Newport VA Clinic';'Laboratory and pathology at VA White River Junction health care';;'VA White River Junction health care'
'vha_405QB ';'Newport VA Clinic';'Pharmacy at VA White River Junction health care';;'VA White River Junction health care'
'vha_405QB ';'Newport VA Clinic';'Primary care at VA White River Junction health care';;'VA White River Junction health care'
'vha_405QB ';'Newport VA Clinic';'Radiology at VA White River Junction health care';;'VA White River Junction health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Caregiver support at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Emergency care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Homeless Veteran care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'LGBTQ+ Veteran care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Mental health care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Military sexual trauma care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Minority Veteran care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'My HealtheVet coordinator at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Nutrition, food, and dietary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Patient advocates at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Pharmacy at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Recreation and creative arts therapy at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Registry exams at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Returning service member care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Social work at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Spinal cord injury and disorders at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Suicide prevention at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Travel reimbursement at VA New Mexico health care';;'VA New Mexico health care'
'vha_501 ';'Raymond G. Murphy Department of Veterans Affairs Medical Center';'Women Veteran care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501G2 ';'Las Vegas VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501G2 ';'Las Vegas VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501G2 ';'Las Vegas VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GA ';'Artesia VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GA ';'Artesia VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GA ';'Artesia VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GA ';'Artesia VA Clinic';'Social work at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GB ';'Farmington VA Clinic';'Advice nurse at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GB ';'Farmington VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GB ';'Farmington VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GB ';'Farmington VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GB ';'Farmington VA Clinic';'Social work at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GB ';'Farmington VA Clinic';'Telehealth at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GC ';'Silver City VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GC ';'Silver City VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GC ';'Silver City VA Clinic';'Mental health care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GC ';'Silver City VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GC ';'Silver City VA Clinic';'Social work at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GD ';'Gallup VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GD ';'Gallup VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GD ';'Gallup VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GE ';'Espanola VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GE ';'Espanola VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GE ';'Espanola VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GE ';'Espanola VA Clinic';'Social work at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GH ';'Truth or Consequences VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GH ';'Truth or Consequences VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GH ';'Truth or Consequences VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GI ';'Alamogordo VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GI ';'Alamogordo VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GI ';'Alamogordo VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GI ';'Alamogordo VA Clinic';'Social work at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GJ ';'Durango VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GJ ';'Durango VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GJ ';'Durango VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GJ ';'Durango VA Clinic';'Social work at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GK ';'Santa Fe VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GK ';'Santa Fe VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GK ';'Santa Fe VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GM ';'Northwest Metro VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GM ';'Northwest Metro VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GM ';'Northwest Metro VA Clinic';'Mental health care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GM ';'Northwest Metro VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GM ';'Northwest Metro VA Clinic';'Telehealth at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GM ';'Northwest Metro VA Clinic';'Women Veteran care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GN ';'Taos VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GN ';'Taos VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GN ';'Taos VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_501GN ';'Taos VA Clinic';'Telehealth at VA New Mexico health care';;'VA New Mexico health care'
'vha_501HB ';'Raton VA Clinic';'Cardiology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501HB ';'Raton VA Clinic';'Laboratory and pathology at VA New Mexico health care';;'VA New Mexico health care'
'vha_501HB ';'Raton VA Clinic';'Primary care at VA New Mexico health care';;'VA New Mexico health care'
'vha_512 ';'Baltimore VA Medical Center';'Caregiver support at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Dental/oral surgery at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Emergency care at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Extended care and rehabilitation at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Geriatrics at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Homeless Veteran care at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Hospital medicine at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'LGBTQ+ Veteran care at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Mental health care at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Military sexual trauma care at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Minority Veteran care at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'My HealtheVet coordinator at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Neurology at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Patient advocates at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Pharmacy at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Recreation and creative arts therapy at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Registry exams at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Returning service member care at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Smoking and tobacco cessation at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Suicide prevention at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Telehealth at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Travel reimbursement at VA Maryland health care';;'VA Maryland health care'
'vha_512 ';'Baltimore VA Medical Center';'Women Veteran care at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Addiction and substance abuse care at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Audiology and speech at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Cardiology at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Caregiver support at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Dental/oral surgery at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Extended care and rehabilitation at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Geriatrics at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Mental health care at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Neurology at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Optometry at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Palliative and hospice care at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Podiatry at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Primary care at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Psychology at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'PTSD care at VA Maryland health care';;'VA Maryland health care'
'vha_512A5 ';'Perry Point VA Medical Center';'Rehabilitation and prosthetics at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Audiology and speech at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Cardiology at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Mental health care at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Optometry at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Podiatry at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Primary care at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Pulmonary medicine at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Rehabilitation and prosthetics at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Social work at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Telehealth at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Urology at VA Maryland health care';;'VA Maryland health care'
'vha_512GA ';'Cambridge VA Clinic';'Women Veteran care at VA Maryland health care';;'VA Maryland health care'
'vha_512GC ';'Glen Burnie VA Clinic';'Audiology and speech at VA Maryland health care';;'VA Maryland health care'
