Id;Facility;VAMC System Health Service;Facility description of services;Owner
'VAMC-FY-11';'Allentown VA Clinic';'Women Veteran care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />3110 Hamilton Boulevard, <br />Allentown, PA 18103-3630<br /><strong>Phone:</strong> <a href="tel:+1610-776-4304">610-776-4304</a><br /><strong>Hours:</strong> Monday: 8:00 a.m. to 8:00 p.m. ET, <br />Tuesday through Friday: 8:00 a.m. to 4:30 a.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1610-776-4304">610-776-4304</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-12';'Columbia County VA Clinic';'Laboratory and pathology at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Alley Medical Center, <br /></strong><br />301 West Third Street, <br />Alley Medical Center, <br />Berwick, PA 18603-3603<br /><strong>Phone:</strong> <a href="tel:+1570-759-0351">570-759-0351</a><br /><strong>Hours:</strong> Monday-Tuesday:8:00a.m.-7:00p.m. ET, <br />Wednesday:8:00a.m.-5:00p.m. ET, <br />Thursday:8:00a.m.-7:00p.m. ET, <br />Friday:8:00a.m.-6:00p.m. ET, <br />Saturday:9:00a.m.-1:00p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-759-0351">570-759-0351</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-13';'Columbia County VA Clinic';'Primary Care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Alley Medical Center, <br /></strong><br />301 West Third Street, <br />Alley Medical Center, <br />Berwick, PA 18603-3603<br /><strong>Phone:</strong> <a href="tel:+1570-759-0351">570-759-0351</a><br /><strong>Hours:</strong> Monday-Tuesday:8:00a.m.-7:00p.m. ET, <br />Wednesday:8:00a.m.-5:00p.m. ET, <br />Thursday:8:00a.m.-7:00p.m. ET, <br />Friday:8:00a.m.-6:00p.m. ET, <br />Saturday:9:00a.m.-1:00p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-759-0351">570-759-0351</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-14';'Columbia County VA Clinic';'Social Work at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Alley Medical Center, <br /></strong><br />301 West Third Street, <br />Alley Medical Center, <br />Berwick, PA 18603-3603<br /><strong>Phone:</strong> <a href="tel:+1570-759-0351">570-759-0351</a><br /><strong>Hours:</strong> Monday-Tuesday:8:00a.m.-7:00p.m. ET, <br />Wednesday:8:00a.m.-5:00p.m. ET, <br />Thursday:8:00a.m.-7:00p.m. ET, <br />Friday:8:00a.m.-6:00p.m. ET, <br />Saturday:9:00a.m.-1:00p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1570-759-0351">570-759-0351</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-15';'Columbia County VA Clinic';'Telehealth at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Alley Medical Center, <br /></strong><br />301 West Third Street, <br />Alley Medical Center, <br />Berwick, PA 18603-3603<br /><strong>Phone:</strong> <a href="tel:+1570-759-0351">570-759-0351</a><br /><strong>Hours:</strong> Monday-Tuesday:8:00a.m.-7:00p.m. ET, <br />Thursday:8:00a.m.-7:00p.m. ET, <br />Friday:8:00a.m.-6:00p.m. ET, <br />Saturday:9:00a.m.-1:00p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-759-0351">570-759-0351</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-16';'Columbia County VA Clinic';'Women Veteran care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Alley Medical Center, <br /></strong><br />301 West Third Street, <br />Alley Medical Center, <br /><strong>Phone:</strong> <a href="tel:+1570-759-0351">570-759-0351</a><br /><strong>Hours:</strong> Monday-Tuesday:8:00a.m.-7:00p.m. ET, <br />Wednesday:8:00a.m.-5:00p.m. ET, <br />Thursday:8:00a.m.-7:00p.m. ET, <br />Friday:8:00a.m.-6:00p.m. ET, <br />Saturday:9:00a.m.-1:00p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1570-759-0351">570-759-0351</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-17';'Northampton County VA Clinic';'Laboratory and pathology at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Phoebe Center, <br /></strong><br />701 Slate Belt Boulevard, <br />Bangor, PA 18013-9341<br /><strong>Phone:</strong> <a href="tel:+1610-599-0127">610-599-0127</a><br /><strong>Hours:</strong> Monday through Friday: 7:30a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-599-0127">610-599-0127</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-18';'Northampton County VA Clinic';'Primary Care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Phoebe Center, <br /></strong><br />701 Slate Belt Boulevard, <br />Bangor, PA 18013-9341<br /><strong>Phone:</strong> <a href="tel:+1610-599-0127">610-599-0127</a><br /><strong>Hours:</strong> Monday through Friday: 7:30a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-599-0127">610-599-0127</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-19';'Northampton County VA Clinic';'Mental health care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Phoebe Center", <br /></strong><br />701 Slate Belt Boulevard, <br />Bangor," PA 18013-9341<br /><strong>Phone:</strong> <a href="tel:+1610-599-0127">610-599-0127</a><br /><strong>Hours:</strong> Monday through Friday: 7:30a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule", reschedule, or cancel your appointment.  If a referral is required," you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-599-0127">610-599-0127</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-20';'Northampton County VA Clinic';'Nutrition, food, and dietary at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Phoebe Center", <br /></strong><br />701 Slate Belt Boulevard, <br />Bangor," PA 18013-9341<br /><strong>Phone:</strong> <a href="tel:+1610-599-0127">610-599-0127</a><br /><strong>Hours:</strong> Monday through Friday: 7:30a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule", reschedule, or cancel your appointment.  If a referral is required," you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-599-0127">610-599-0127</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-21';'Northampton County VA Clinic';'Social work at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Phoebe Center", <br /></strong><br />701 Slate Belt Boulevard, <br />Bangor," PA 18013-9341<br /><strong>Phone:</strong> <a href="tel:+1610-599-0127">610-599-0127</a><br /><strong>Hours:</strong> Monday through Friday: 7:30a.m. to 4:30p.m. ET</p><p>Contact us to schedule", reschedule, or cancel your appointment.  If a referral is required," you will need to contact your primary care provider first.</p><p><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1610-599-0127">610-599-0127</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-22';'Sayre VA Clinic';'Laboratory and pathology at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />1537 North Elmira Street, <br />Sayre, PA 18840-9254<br /><strong>Phone:</strong> <a href="tel:+1570-888-6803">570-888-6803</a><br /><strong>Hours:</strong> Monday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-888-6803">570-888-6803</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-23';'Sayre VA Clinic';'Mental health care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />1537 North Elmira Street, <br />Sayre, PA 18840-9254<br /><strong>Phone:</strong> <a href="tel:+1570-888-6803">570-888-6803</a><br /><strong>Hours:</strong> Monday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1570-888-6803">570-888-6803</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-24';'Sayre VA Clinic';'Optometry at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />1537 North Elmira Street, <br />Sayre, PA 18840-9254<br /><strong>Phone:</strong> <a href="tel:+1570-888-6803">570-888-6803</a><br /><strong>Hours:</strong> Monday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-888-6803">570-888-6803</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-25';'Sayre VA Clinic';'Podiatry at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p>1537 North Elmira Street, <br />Sayre, PA 18840-9254<br /><strong>Phone:</strong> <a href="tel:+1570-888-6803">570-888-6803</a><br /><strong>Hours:</strong> Monday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-888-6803">570-888-6803</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-26';'Sayre VA Clinic';'Primary Care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />1537 North Elmira Street, <br />Sayre, PA 18840-9254<br /><strong>Phone:</strong> <a href="tel:+1570-888-6803">570-888-6803</a><br /><strong>Hours:</strong> Monday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1570-888-6803">570-888-6803</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-27';'Sayre VA Clinic';'Social Work at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />1537 North Elmira Street, <br />Sayre, PA 18840-9254<br /><strong>Phone:</strong> <a href="tel:+1570-888-6803">570-888-6803</a><br /><strong>Hours:</strong> Monday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1570-888-6803">570-888-6803</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-28';'Sayre VA Clinic';'Nutrition, food, and dietary at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />1537 North Elmira Street", <br />Sayre," PA 18840-9254<br /><strong>Phone:</strong> <a href="tel:+1570-888-6803">570-888-6803</a><br /><strong>Hours:</strong> Monday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule", reschedule, or cancel your appointment.  If a referral is required," you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-888-6803">570-888-6803</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-29';'Sayre VA Clinic';'Ophthalmology at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />1537 North Elmira Street", <br />Sayre," PA 18840-9254<br /><strong>Phone:</strong> <a href="tel:+1570-888-6803">570-888-6803</a><br /><strong>Hours:</strong> Monday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule", reschedule, or cancel your appointment.  If a referral is required," you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-888-6803">570-888-6803</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-30';'Sayre VA Clinic';'Women Veteran care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong></strong><br />1537 North Elmira Street, <br />Sayre, PA 18840-9254<br /><strong>Phone:</strong> <a href="tel:+1570-888-6803">570-888-6803</a><br /><strong>Hours:</strong> Monday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1570-888-6803">570-888-6803</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-31';'Tobyhanna VA Clinic';'Laboratory and pathology at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Tobyhanna Army Depot, </strong><br />Building 220, <br />Tobyhanna, PA 18466-5000<br /><strong>Phone:</strong> <a href="tel:+1570-615-8341">570-615-8341</a><br /><strong>Hours:</strong> Wednesday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-615-8341">570-615-8341</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-32';'Tobyhanna VA Clinic';'Primary Care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Tobyhanna Army Depot, </strong><br />Building 220, <br />Tobyhanna, PA 18466-5000<br /><strong>Phone:</strong> <a href="tel:+1570-615-8341">570-615-8341</a><br /><strong>Hours:</strong> Wednesday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1570-615-8341">570-615-8341</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-33';'Tobyhanna VA Clinic';'Mental health care at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Tobyhanna Army Depot", </strong><br />Building 220, <br />Tobyhanna," PA 18466-5000<br /><strong>Phone:</strong> <a href="tel:+1570-615-8341">570-615-8341</a><br /><strong>Hours:</strong> Wednesday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule", reschedule, or cancel your appointment.  If a referral is required," you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-615-8341">570-615-8341</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-34';'Tobyhanna VA Clinic';'Nutrition, food, and dietary at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Tobyhanna Army Depot", </strong><br />Building 220, <br />Tobyhanna," PA 18466-5000<br /><strong>Phone:</strong> <a href="tel:+1570-615-8341">570-615-8341</a><br /><strong>Hours:</strong> Wednesday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule", reschedule, or cancel your appointment.  If a referral is required," you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-615-8341">570-615-8341</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-35';'Tobyhanna VA Clinic';'Social work at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Tobyhanna Army Depot", </strong><br />Building 220, <br />Tobyhanna," PA 18466-5000<br /><strong>Phone:</strong> <a href="tel:+1570-615-8341">570-615-8341</a><br /><strong>Hours:</strong> Wednesday through Friday: 8:00a.m. to 4:30p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule", reschedule, or cancel your appointment.  If a referral is required," you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+1570-615-8341">570-615-8341</a> </p>';'VA Wilkes-Barre health care'
'VAMC-FY-36';'Wayne County VA Clinic';'Cardiology at VA Wilkes-Barre health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Wayne Memorial Health Systems Complex, </strong><br />600 Maple Avenue, <br />Suite 2, <br />Honesdale, PA 18431-1439<br /><strong>Phone:</strong> <a href="tel:+1570-251-6549">570-251-6549</a><br /><strong>Hours:</strong> Monday through Friday: 7:30a.m. to 4:00p.m. ET</p><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+1570-251-6549">570-251-6549</a> </p>';'VA Wilkes-Barre health care'
