Account Name,Account ID,Parent Account,Parent Account ID,Mail Code,Organization Code,Office Type,Station Number,District VEO,Description,Account Record Type,Type,VA Organization Acronym,Active,Office Inactive,Account Owner,Top Parent Id,City,State,Phone,Fax,Website,MyVA Communities Added,NND,VIEWS Account,In FOM?,FOM Sort Order,Org Chart Needed?,Levels To Display In Hierarchy,Point of Contact,Secondary Point of Contact,FOM Coordinator,FOM Approver,FOM Data Request Due Date,Intranet URL,External URL,Certified Ready for FOM,Sub-Levels Ready For FOM,Ready for FOM By,Ready for FOM Date,Month's Since Validation,Last FOM Data Request Created Date,FOM Review Notification Sent Date,Mission,Overview,Activities,Org Chart Image,VIEWS Queue ID,VIEWS Custom Queue Name,VIEWS Group ID,VIEWS Nested Group ID,Related Contracts' Total Value
HRA/OSP-07D2D for Technical Programs Division,001t000000XC5Nl,HRA/OSP-07D2 Law Enforcement Training Center,001t0000009wAvW,07B2D,7,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,7/30/2021,,,"The Technical Programs Division provides oversight and management of all in-residence and field training programs and policies for the use of department-issued weapons, unarmed defense, physical training, and tactical operations.","Responsibilities include; development of all associated programs and curricula, conducting specialized instructor courses, conducting Use of Force reviews, and continuous evaluation of improvements in law enforcement technology, methodologies, and processes associated with these areas.",,,,00Gt0000001PBCzEAO,00Gt0000001PBD0EAO,
HRA/OSP-006H3 Learning and Development Services,001t000000XBrvn,HRA/OSP-006H Human Capital Services Center,001t0000009wAtU,006H3,6,Organization,,,,VA Organization,,HRA-OSP,Yes,1,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Matthew Gentil,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/25/2021,,,Learning and Development Services manages the VA?s Centralized Career Development Programs that addresses VA critical staffing requirements and services to support learning and leadership development for all VA employees.,"?	Identifies and deploys talent development services that will enhance leadership development programs to include VA?s Leadership Development Framework, and talent development efforts. The VA Chief Learning Officer is also responsible for identifying ways to reduce duplication of leadership and talent development services.

?	Manages a centralized talent development program to address VA critical staffing needs. Programs utilize existing policies to recruit and retain students and recent graduates from a variety of backgrounds and academic disciplines to fill mission critical entry to mid-level positions across the Department. Career Development Programs, fellowships, and internship programs include but are not limited to: Pathways Programs, National Diversity Internship Program (NDIP), Presidential Management Fellows (PMF), Workforce Recruitment Program (WRP), Chief Experience Officer (CXO) Fellowship, White House Leadership Fellowship, Executive Management Fellowship (EMF) and partnership with the Department of Defense SkillBridge Program.",,,,00Gt0000001P9xyEAC,00Gt0000001P9xzEAC,
HRA/OSP-07D2C Training Support Division,001t000000XC5NR,HRA/OSP-07D2 Law Enforcement Training Center,001t0000009wAvW,07D2C,7,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Susan Fleming,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,7/30/2021,,,"Training Support Division provides evaluation, oversight, and accreditation of in-residence, field training, and instructional programs.","Responsibilities include internal and external quality control, internal policy updates and promulgation, statistical analysis, accreditation, student and program record keeping, on-line student training management, student meals, lodging, and student assignments.",,,,00Gt0000001PBCuEAO,00Gt0000001PBCvEAO,
HRA/OSP-006H2 Human Capital Systems,001t000000XBrvT,HRA/OSP-006H Human Capital Services Center,001t0000009wAtU,006H2,6,Organization,,,,VA Organization,,HRA-OSP,Yes,1,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Matthew Gentil,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/25/2021,,,Human Capital Systems (HCS) manages the VA?s Emergency Alerting and Accountability System (EAAS) and support services for all VA employees.,"?	Provides program and system management activities for VA employees nationwide.  These activities include providing VA with a system and support services regarding employee alerting and accountability systems (EAAS), as well as standardized exercises and training vignettes designed with Emergency Managers across the VA.  (for instance, one for hurricanes or one for tornados, by management level).

?	HCSC provides program and support services that are intuitive and incorporated in comprehensive Emergency Management Programs for each Administration and Staff Offices at the headquarters, district, regional, and local levels.",,,,00Gt0000001P9xtEAC,00Gt0000001P9xuEAC,
HRA/OSP-006P Principal Deputy Assistant Secretary for Human Resources and Administration,001t000000X0wIQ,"HRA/OSP-006 Office of Human Resources and Administration/Operations, Security and Preparedness",001t0000009wAq5,006 P,6,Organization,,,,VA Organization,,HRA-OSP,Yes,1,Janet Schiller,001t0000003bSjB,"Washington, DC",,,,,0,No,1,Yes,,0,,Erin O'toole,,Richard Cardenas,Fernando Huerta,,,,1,1,Janet Schiller,7/21/2021,-6,7/7/2021,,,"The Office of the Principal Deputy Assistant Secretary (PDAS) directly oversees the Office of Administration, Office of Resolution Management, Diversity and Inclusion, Management Planning and Analysis, and Manpower Management Service while providing strategic leadership and guidance to the Office of the Chief Human Capital Officer, Office of the Chief Security Officer and the Corporate Senior Executive Management Office.","?	Provides executive leadership over programmatic and planning functions of subordinate HRA/OSP organizations.
?	Oversees budget operations, program reviews, data analytics and staffing assessments/models.",image.png,,,,,0
HRA/OSP-006MPA3 HR Liaison and Support,001t000000XBewO,"HRA/OSP-006MPA Management, Planning and Analysis",001t000000Avs2T,006MPA3,6,Organization,,,,VA Organization,,HRA-OSP,Yes,1,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/25/2021,,,Provides support services to HRA/OSP for human resources activities and to the VA workforce for the Child Care Subsidy Program.,"Coordinates lifecycle human resources activities support services for HRA/OSP executives and staff.

Provides logistical support to include coordinating issuance of government furnished equipment, time and attendance, supply purchases and travel.

Administers the Child Care Subsidy Program for eligible VA employees nationwide.",,,,00Gt0000001P7RgEAK,00Gt0000001P7RhEAK,0
HRA/OSP-006 08A Resolution Management,001t000000XBewN,"HRA/OSP-006 08 Office of Resolution Management, Diversity and Inclusion",001t0000009wAq8,006 08A,6,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/24/2021,,,Provides equal employment opportunity (EEO) complaint processing services.,"Complaint process includes confidential counseling, mediation, and investigation.

Promotes a healthy working environment through prevention, resolution, and processing of workplace disputes, including complaints of discrimination.",,,,,,
HRA/OSP-006 03A Strategy and Integration,001t000000XBewM,HRA/OSP-006 03 Office of Administration,001t000000AekLL,006 03A,6,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/24/2021,,,Strategy and Integration proactively synchronizes OA efforts to leverage and incorporate opportunities within OA. Establishes procedures to employ efficiencies and best practices across multiple business lines. Manages all aspects of OA?s Continuous Process Improvement (CPI) activities.,"Internal Steering Committee sponsors resource allocation and project priorities, and provides progress updates to leadership to include cost savings, resources and project profiles.

Measures business performance through the interactive Business Performance Metric Review (BPMR), Program audits, Problem Identification Selection Workshop, utilizing SharePoint technology.

Leverages the efficiency of the CPI program; institutionalizes, integrates and oversees the Lean Six Sigma methodologies for OA.

Cultivates CPI practitioners to find potential areas of improvement, discard wasteful processes and assess quality of products.

Manages shared vision and information management technologies to enhance maintenance and implementation of new strategies.

Gathers data and integrates external practices to leverage business advances for OA.",,00Gt0000002WjCNEA0,,00Gt0000001P7R7EAK,00Gt0000001P7R8EAK,
HRA/OSP-006D3 Recruitment and Operations,001t000000XBepl,HRA/OSP-006D Corporate Senior Executive Management Office,001t000000AekLa,006D3,6,Organization,,,,VA Organization,,HRA-OSP,Yes,1,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Ruth Hicks-oglesby,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/25/2021,,,"Recruitment and Operations Division provides expert advice and service on the full range of executive lifecycle management in the areas of executive staffing, classification, and retention processes, regulations, guidelines, and procedures, to include providing merit staffing guidance and engagement to resolve unique staffing/recruitment issues.  Advice and service are provided for the following servicing population, the Career Senior Executive Service, Political Appointees (Political Appointees Senate confirmed or without senate confirmation, Schedule Cs, and Non-Career SES), Title 38 Senior Executive Equivalents, Members of the Board of Veterans Appeals, Senior Level, and Consultant/Expert positions. The Recruitment and Operations Division strives to maintain a dedicated focus on customer service, continuous improvement, and remain committed to fostering an environment that enhances the HR experience.","?	Oversees the biennial review of executive allocations.
?	Manages executive positions to include classification and pay band determinations.
?	Provides subject matter expertise and advice on recruitment strategies and administers the merit staffing process to fill executive positions to include managing Executive Resources Board (ERB) Rating Panels and coordination of Qualifications Review Board (QRB) cases with OPM.
?	Accountable for all aspects of recruiting, staffing and entry on duty for senior leaders.
?	Serves as the Department?s principal advisor to the OPM on executive resources matters.
?	Facilitates the merit staffing process for the SES Candidate Development Program and placement of certified candidates.
?	Coordinates and prepares all personnel actions for VA?s career, noncareer and limited term SES, senior level (SL), Title 38 SES Equivalents, political appointees, Schedule C employees, consultants/experts, and Veterans Law Judges (VLJ) positions.",,,,00Gt0000001P7QxEAK,00Gt0000001P7QyEAK,0
HRA/OSP-006MMS3 Organizational Design,001t000000XBfC0,HRA/OSP-006MMS Manpower Management Service,001t000000Dihxm,006MMS3,6,Organization,,,,VA Organization,,HRA-OSP,Yes,1,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/25/2021,,,,,,,,00Gt0000001P7SPEA0,00Gt0000001P7SQEA0,0
HRA/OSP-006 08A4 Western Region,001t000000XBfD3,HRA/OSP-006 08A Resolution Management,001t000000XBewN,006 08A4,6,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/24/2021,,,"The dual Eastern/Western regions ensure VA is compliant with legal and statutory authorities to administer the EEO and Alternative Dispute Resolution (ADR) programs. The regions deliver the following products and services to each VA organization: Alternative Dispute Resolution, Harassment Prevention Program, External Civil Rights Complaints Program, Reasonable Accommodation Services, EEO Complaint Processing, and training.

Through a national network of district offices (Eastern Region: North Atlantic 1 and 2, Southeast and VA Central Office Districts; Western Region: Midwest, Continental and Pacific Districts and OICT (ORMDI Investigations and Contracting Team), the dual regions provide timely and fair processing of EEO complaints for VA employees, applicants for employment and former employees. The regions resolve complaints at the lowest level possible, prepare reports on allegations of discrimination and provide training when discrimination is found.","Provides EEO complaint processing services to include counseling, ADR, case management, investigations and training.

Provides agency oversight for Harassment Prevention Program, and External Civil Rights Complaints Program.",,,,,,
HRA/OSP-006 056 Human Capital Information Service,001t000000XBfEB,HRA/OSP-006CEHRIS Center for Enterprise Human Resources Information Service,001t000000ilgSr,006 056,6,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Matthew Gentil,,Richard Cardenas,Fernando Huerta,,,,1,1,Janet Schiller,7/21/2021,-6,6/25/2021,,,"HCIS is responsible for managing the full lifecycle of VA HC enterprise systems from needs identification to development, deployment, operation and maintenance and system retirement.","?	Maintains, enhances, and liaises total Program Management support for the VA?s core HR personnel data system, HR·Smart.
?	Designs, develops, deploys, sustains and enhances all peripheral, operational systems that deliver full-spectrum employee engagement, via HR·Smart, directly to the VA. Contemporary employee engagement portfolio systems include, but are not limited to: ePerformance, the VA?s Performance Management system; ALERT-HR, the Employee Relations/Labor Relations Case Management System;  and the impending S/WIMS + WC-OSH/MIS, projected replacement for Safety and Workers Compensation management.
?	Manages the Recruitment Services product line, to include eClass360 (Classification Solution) and Managed Service, USAStaffing.
?	Identifies and develops capabilities necessary to streamline and automate HR business processes.
?	Adheres to OPM?s policies regarding HCIS automation.
?	Ensures VA?s HR Information System complies with Federal and Agency policies.",,00Gt0000001PIKqEAO,,00Gt0000001P7SoEAK,00Gt0000001P7SpEAK,
HRA/OSP-006MMS1 Policy and Processes,001t000000XBf9V,HRA/OSP-006MMS Manpower Management Service,001t000000Dihxm,006MMS1,6,Organization,,,,VA Organization,,HRA-OSP,Yes,1,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,1,Janet Schiller,7/21/2021,-6,6/25/2021,,,,,,,,,,0
HRA/OSP-006 032 Support Services,001t000000XBf5J,HRA/OSP-006 03 Office of Administration,001t000000AekLL,006 032,6,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,1,Janet Schiller,7/21/2021,-6,6/23/2021,,,"Provides logistical and asset management support across the VACO campus. This includes the VACO
Health and Wellness Centers, Media Services (all audiovisual support) and the Property Management Division that oversees VACO mail services, Executive Correspondence, Property accountability, Parking and Executive Transportation.","Oversees the Interagency Agreement with Federal Occupational Health, which includes related on-site facilities and the Employee Assistance Program.

Oversees VACO?s asset management program (equipment inventory listing of nonexpendable, non-Information Technology (IT) property).

Directs all mail U.S. Postal Service (USPS) mail operations (metered, FedEx, UPS) for VACO, which include two mailrooms outside of 810 Vermont Avenue.

Provides records management support, oversight and guidance for VACO organizations.",,,,00Gt0000001P7RWEA0,00Gt0000001P7RXEA0,
HRA/OSP-006 08A6 External Complaints,001t000000XBfBD,HRA/OSP-006 08A Resolution Management,001t000000XBewN,006 08A6,6,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/24/2021,,,Provides oversight responsibility for the processing of external civil rights discrimination complaints it receives from Veterans or other individuals alleging discrimination against the VA or organizations/entities receiving VA funds.,Provides oversight responsibility for the processing of external discrimination complaints.,,,,,,
HRA/OSP-006MMS2 Manpower Management,001t000000XBfBC,HRA/OSP-006MMS Manpower Management Service,001t000000Dihxm,006MMS2,6,Organization,,,,VA Organization,,HRA-OSP,Yes,1,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/25/2021,,,,,,,,00Gt0000001P7S5EAK,00Gt0000001P7S6EAK,0
HRA/OSP-006MMS Manpower Management Service,001t000000Dihxm,HRA/OSP-006P Principal Deputy Assistant Secretary for Human Resources and Administration,001t000000X0wIQ,006MMS,6,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Integration VAIQ User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,0,Janet Schiller,7/21/2021,-6,6/25/2021,,,"The Manpower Management Service (MMS) provides policy and oversight to ensure the VA has the right staffing levels and organizational structure to promote the most efficient and economical use of resources to meet the mission. Manpower management provides a framework for workload-based manpower requirements and standardized organizational structure utilizing analytical tools and methodologies. MMS programs facilitate VA?s planning, budgeting and workforce management by providing leadership with manning documents and business intelligence tools to facilitate strategic decision making and resource management.","MMS has three focus areas: policy and processes, manpower management and organizational design.

Develops, publishes and oversees integrated position and organizational management policies and processes, and uses audit tools to monitor compliance with these policies and processes.

Develops, manages and validates analytic tools to provide workload-based staffing requirements in support of workforce optimization.

Generates manning documents and business intelligence tools to inform management decisions.

Serves as the Manpower Office for Staff Offices and oversees Manpower Offices in the Administrations and OIT.",,00Gt0000001ZUu8EAG,,00Gt0000001ZUu7EAG,,0
HRA/OSP-006 08A2 Management Services,001t000000CM2LM,HRA/OSP-006 08A Resolution Management,001t000000XBewN,006 08A2,6,Organization,,,,VA Organization,,HRA-OSP,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Douglas Whitlow,,Richard Cardenas,Fernando Huerta,,,,1,1,Janet Schiller,7/21/2021,-6,6/24/2021,,,"Provides administrative, financial, contractual and logistics services to ORMDI and its employees
geographically dispersed across the U.S.","Provides quality customer service support to over 300 employees assigned to two regions and six field sites geographically disbursed across the U.S. In the following areas: human capital management/employee engagement, financial management, space and facility support and contracting liaison assistance.",,00Gt0000000sLaNEAU,,00Gt0000000HSgDEAW,00Gt0000000sLXdEAM,
